nomBeneficiaire;type;code;structure
ADN MP DIGITAL PLACE ASSOC;Autres organisations fonctionnant par adhésion volontaire;9499Z;
MAISON EMPLOI DE TOULOUSE ASSOC;Autres organisations fonctionnant par adhésion volontaire;9499Z;
ICF ATLANTIQUE HLM SA;Location de logements;6820A;
MISSION LOCALE TOULOUSE;Administration publique (tutelle) des activités économiques;8413Z;
SNI SUD OUEST AGENCE TOULOUSE SA;Location de logements;6820A;
PREVENTION ROUTIERE ASSOC;Autres organisations fonctionnant par adhésion volontaire;9499Z;
SNCF RESEAU;Services auxiliaires des transports terrestres;5221Z;
SAS BIOVA;Analyses, essais et inspections techniques;7120B;
ORANGE SA;Télécommunications filaires;6110Z;
SYNDICAT COPRO LES JONQUILLES;Activités combinées de soutien lié aux bâtiments;8110Z;
SDS LES CASTALIDES JUDICIAIRE;;;
DICVIE ASSOC;Autres organisations fonctionnant par adhésion volontaire;9499Z;
CCI TERRASSA;;;
SYNDICAT FORCE OUVRIERE TM;Activités des syndicats de salariés;9420Z;
ADIE DROIT A L INITIATIVE ECONOMIQUE ASSOC;Action sociale sans hébergement n.c.a.;8899B;
CARREFOURS POUR L EMPLOI;Action sociale sans hébergement n.c.a.;8899B;
COMPAGNIE DES MOBILITES SARL;Programmation informatique;6201Z;
ANDORRA DESENVOLUPAMENT I INVERSIO;;;
SEE ELECTRICIEN ELECTRONICIEN ASSOC;Activités des organisations professionnelles;9412Z;
SYNDICAT INTERCO CFDT MAIRIE TOULOUSE METROPOLE;Activités des syndicats de salariés;9420Z;
ORGANISATION BUS CYCLISTES;Autres organisations fonctionnant par adhésion volontaire;9499Z;
GRAPHITI CIRDD MIDI PYRENEES ASSOC;Action sociale sans hébergement n.c.a.;8899B;
LIGUE DE L ENSEIGNEMENT 31;Autres organisations fonctionnant par adhésion volontaire;9499Z;
MIDI PYRENEES EXPANSION;Administration publique (tutelle) des activités économiques;8413Z;
COOP ACTION SARL;Travaux de maçonnerie générale et gros oeuvre de bâtiment;4399C;
ISSAT ASSOC;;;
FACE;Restauration de type rapide;5610C;
CNRS CTRE NAT DE LA RECHERCHE SCIENTIFIQUE;Recherche-développement en autres sciences physiques et naturelles;7219Z;
ERABLES 31;Autres organisations fonctionnant par adhésion volontaire;9499Z;
UREI UNION REG ENTREP INSERTION MIDI PYRENEES ASSOC;Activités des organisations professionnelles;9412Z;
SEM MINT MARCHE GARE TOULOUSE;Administration d'immeubles et autres biens immobiliers;6832A;
UNIS CITE;Autre accueil ou accompagnement sans hébergement d'enfants et d'adolescents;8899A;
SYNDICAT COPRO LES PERVENCHES;Activités combinées de soutien lié aux bâtiments;8110Z;
SAVIM SERVICE AIDE AUX VICTIMES D INFORMATION DE MEDIATION ASSOC;;;
BIOMEDICAL ALLIANCE ASSOC;Autres organisations fonctionnant par adhésion volontaire;9499Z;
CCI ZARAGOZA;;;
CNES CENTRE NATIONAL D ETUDES SPATIALES;Recherche-développement en autres sciences physiques et naturelles;7219Z;
UNION REG SOCIETES COOPERATIVE DE PRODUCTION ASSOC;Autres activités de soutien aux entreprises n.c.a.;8299Z;
UCJG UNION CHRET JEUNES GENS ROBERT MONNIER ASSOC;Hébergement social pour adultes et familles en difficultés et autre hébergement social;8790B;
SM POUR L AMENAGEMENT DE LA FORET BOUCONNE;Gestion d'installations sportives;9311Z;
SFHE;Location de logements;6820A;
SYNDICAT UECT UNSA UNION EMPLOYE;Activités des syndicats de salariés;9420Z;
SYNDICAT SUD CUTM;Activités des syndicats de salariés;9420Z;
CRESS CHAMBRE REG ECONOMIE SOCIALE ET SOLIDAIRE ASSOC;Autres organisations fonctionnant par adhésion volontaire;9499Z;
INITIATIVES POUR UNE ECONOMIE SOLIDAIRE - IES - SCIC;Activités des sociétés holding;6420Z;
EUROPEENNE DU FILM D ANIMATION CARTOON;Organisation de foires, salons professionnels et congrès;8230Z;
IMO LLEIDA;Activités des marchands de biens immobiliers;6810Z;
