nomAttribuant;idAttribuant;dateConvention;referenceDecision;nomBeneficiaire;idBeneficiaire;objet;montant;nature;conditionsVersement;datesPeriodeVersement;idRAE;notificationUE;pourcentageSubvention
Toulouse Métropole;24310051800170;;;AILES ANCIENNES TOULOUSE DOTATION ASSOC;79990351300015;Subvention d'équipement;20000.0;aide en numéraire;unique;2016-06-13;;non;1
Toulouse Métropole;24310051800170;;;CANCER BIO SANTE ASSOC;48744551200030;Subvention de Fonctionnement;100000.0;aide en numéraire;échelonné;2016-08-02;;non;1
Toulouse Métropole;24310051800170;;;COMMUNE DE FENOUILLET;21310182700011;Subvention de Fonctionnement;5330.0;aide en numéraire;unique;2016-12-01;;non;1
Toulouse Métropole;24310051800170;;;ATMO OCCITANIE;30859970300037;Subvention de Fonctionnement;170000.0;aide en numéraire;échelonné;2016-12-20;;non;1
Toulouse Métropole;24310051800170;;;ARTILECT ASSOC;51311307600030;Subvention de Fonctionnement;20000.0;aide en numéraire;unique;2016-11-16;;non;1
Toulouse Métropole;24310051800170;;;FFPE FEDERATION DES FEMMES POUR L EUROPE;39142818200029;Subvention de Fonctionnement;22500.0;aide en numéraire;échelonné;2016-11-18;;non;1
Toulouse Métropole;24310051800170;;;DEPARTEMENTALE FRANCAS HAUTE-GARONNE ASSOC;38352219000065;Subvention de Fonctionnement;3100.0;aide en numéraire;unique;2016-09-23;;non;1
Toulouse Métropole;24310051800170;;;FESTIVAL LIVRE JEUNESSE OCCITANIE;44446126300014;Subvention de Fonctionnement;19000.0;aide en numéraire;échelonné;2016-12-28;;non;1
Toulouse Métropole;24310051800170;;;ECOLE DES DROITS DE L HOMME ASSOC;49379812800036;Subvention de Fonctionnement;28000.0;aide en numéraire;unique;2016-07-21;;non;1
Toulouse Métropole;24310051800170;;;ETRE MOBILE C EST PERMIS;52955579900038;Subvention de Fonctionnement;72100.0;aide en numéraire;échelonné;2016-12-22;;non;1
Toulouse Métropole;24310051800170;;;FACE GRAND TOULOUSE  ASSOC;43482616000062;Subvention de Fonctionnement;28050.0;aide en numéraire;échelonné;2016-12-26;;non;1
Toulouse Métropole;24310051800170;;;GRAINE MIDI PYRENEES ASSOC;42058246200032;Subvention de Fonctionnement;3200.0;aide en numéraire;unique;2016-10-28;;non;1
Toulouse Métropole;24310051800170;;;FONDATION JJ LAFFONT;49473797600014;Subvention de Fonctionnement;4000.0;aide en numéraire;unique;2016-12-08;;non;1
Toulouse Métropole;24310051800170;;;DELL ARTE ASSOC;41375052200042;Subvention de Fonctionnement;18000.0;aide en numéraire;unique;2016-06-27;;non;1
Toulouse Métropole;24310051800170;;;ERABLES 31;50025958500031;Subvention de Fonctionnement;2000.0;aide en numéraire;unique;2016-10-28;;non;1
Toulouse Métropole;24310051800170;;;LES AMIS DE LA POLOGNE ASSOC;45010310600016;Subvention de Fonctionnement;500.0;aide en numéraire;unique;2016-07-22;;non;1
Toulouse Métropole;24310051800170;;;NATIONALE LE REFUGE ASSOC;44963103500044;Subvention de Fonctionnement;4000.0;aide en numéraire;unique;2016-12-21;;non;1
Toulouse Métropole;24310051800170;;;HUMUS ET ASSOCIES H ET A;75107805600023;Subvention de Fonctionnement;5000.0;aide en numéraire;unique;2016-10-28;;non;1
Toulouse Métropole;24310051800170;;;LA GRAINERIE ASSOC;44492307200037;Subvention de Fonctionnement;222000.0;aide en numéraire;échelonné;2016-12-07;;non;1
Toulouse Métropole;24310051800170;;;MJC PREVERT ASSOC;31737317300044;Subvention de Fonctionnement;2500.0;aide en numéraire;unique;2016-09-23;;non;1
Toulouse Métropole;24310051800170;;;LES VIDEOPHAGES;44912945100042;Subvention de Fonctionnement;6000.0;aide en numéraire;unique;2016-09-07;;non;1
Toulouse Métropole;24310051800170;;;L USINE;39977063500031;Subvention de Fonctionnement;220000.0;aide en numéraire;échelonné;2016-12-28;;non;1
Toulouse Métropole;24310051800170;;;LE RELAIS;77693922500020;Subvention de Fonctionnement;10257.1;aide en numéraire;unique;2016-02-16;;non;1
Toulouse Métropole;24310051800170;;;INSERM;18003604801427;Subvention de Fonctionnement;4000.0;aide en numéraire;unique;2016-08-02;;non;1
Toulouse Métropole;24310051800170;;;POINT RENCONTRE CHOMEURS ET PRECAIRE ASSOC;40299109500025;Subvention de Fonctionnement;8000.0;aide en numéraire;unique;2016-11-18;;non;1
Toulouse Métropole;24310051800170;;;SPORTIVE ET CULTURELLE DES ARENES ASSOC;49400780000027;Subvention de Fonctionnement;2546.0;aide en numéraire;unique;2016-05-13;;non;1
Toulouse Métropole;24310051800170;;;SEE ELECTRICIEN ELECTRONICIEN ASSOC;78539323200042;Subvention de Fonctionnement;4000.0;aide en numéraire;unique;2016-01-29;;non;1
Toulouse Métropole;24310051800170;;;SEMECCEL CITE DE L ESPACE;40826624500021;Subvention de Fonctionnement;4631396.18;aide en numéraire;échelonné;2016-11-14;;non;1
Toulouse Métropole;24310051800170;;;SOLAGRO ASSOC;32451090800050;Subvention de Fonctionnement;109257.0;aide en numéraire;échelonné;2016-12-31;;non;1
Toulouse Métropole;24310051800170;;;PROMOLOGIS SA;69080205300023;Subvention d'équipement;1620840.0;aide en numéraire;échelonné;2016-11-24;;non;1
Toulouse Métropole;24310051800170;;;OPPIDEA SEM;52899835400021;Subvention d'équipement;4560917.77;aide en numéraire;échelonné;2016-10-25;;non;1
Toulouse Métropole;24310051800170;;;SOLIBRE ASSOC;80128443100013;Subvention de Fonctionnement;9500.0;aide en numéraire;unique;2016-12-13;;non;1
Toulouse Métropole;24310051800170;;;RECYCLO BAT;79892821400039;Subvention de Fonctionnement;10000.0;aide en numéraire;unique;2016-10-26;;non;1
Toulouse Métropole;24310051800170;;;SIGFOX SA;51458244400030;Subvention de Fonctionnement;10000.0;aide en numéraire;unique;2016-10-26;;non;1
Toulouse Métropole;24310051800170;;;UNION REGIONALE CFTC MIDI PYRENEES;38359620200028;Subvention de Fonctionnement;341.49;aide en numéraire;unique;2016-12-16;;non;1
Toulouse Métropole;24310051800170;;;UNIVERSITE TOULOUSE II JEAN JAURES;19311383400017;Subvention de Fonctionnement;3000.0;aide en numéraire;unique;2016-07-22;;non;1
Toulouse Métropole;24310051800170;;;ADEPES;42497906000037;Subvention de Fonctionnement;7000.0;aide en numéraire;unique;2016-09-02;;non;1
Toulouse Métropole;24310051800170;;;ADIE DROIT A L INITIATIVE ECONOMIQUE ASSOC;35221687301565;Subvention de Fonctionnement;23750.0;aide en numéraire;unique;2016-09-19;;non;1
Toulouse Métropole;24310051800170;;;AEROSPACE VALLEY;48428452600072;Subvention de Fonctionnement;130000.0;aide en numéraire;échelonné;2016-12-05;;non;1
Toulouse Métropole;24310051800170;;;AGFCCBM ASSOC;82253074700010;Subvention de Fonctionnement;5197.0;aide en numéraire;unique;2016-06-22;;non;1
Toulouse Métropole;24310051800170;;;ASSOC DIALOGUE METROPOLITAIN DE TOULOUSE;79878797400020;Subvention de Fonctionnement;53000.0;aide en numéraire;unique;2016-09-13;;non;1
Toulouse Métropole;24310051800170;;;AUAT AGENCE  URBANISME AGGLOMERATION TOULOUSAINE ASSOC;77695030500016;Subvention de Fonctionnement;2500000.0;aide en numéraire;échelonné;2016-12-20;;non;1
Toulouse Métropole;24310051800170;;;AUTOMOTECH-CLUSTER ASSOC;78891535300015;Subvention d'équipement;20000.0;aide en numéraire;unique;2016-12-01;;non;1
Toulouse Métropole;24310051800170;;;AVENIR NOUVELLE MAISON DES CHOMEURS;44012166300023;Subvention de Fonctionnement;10000.0;aide en numéraire;unique;2016-07-07;;non;1
Toulouse Métropole;24310051800170;;;BGE SUD OUEST ASSOC;31596310800206;Subvention de Fonctionnement;12350.0;aide en numéraire;unique;2016-07-11;;non;1
Toulouse Métropole;24310051800170;;;CAISSE EPARGNE ET PREVOYANCE MIDI PYRENEES;38335459402349;Subvention de Fonctionnement;0.0;aide en numéraire;échelonné;2016-07-22;;non;1
Toulouse Métropole;24310051800170;;;CENTRE INFORMATION SUR DROITS FEMMES ET FAMILLES HAUTE GARONNE;31349910500010;Subvention de Fonctionnement;20791.08;aide en numéraire;échelonné;2016-10-03;;non;1
Toulouse Métropole;24310051800170;;;CHAMBRE DEPT  AGRICULTURE HAUTE-GARONNE;18310004900026;Subvention d'équipement;12512.5;aide en numéraire;unique;2016-07-08;;non;1
Toulouse Métropole;24310051800170;;;CHAMBRE DES METIERS ET DE L ARTISANAT HAUTE GARONNE;18310005600039;Subvention de Fonctionnement;8000.0;aide en numéraire;unique;2016-07-06;;non;1
Toulouse Métropole;24310051800170;;;CLUB DES CONSEILS SYNDICAUX DE LA HAUTE GARONNE;75226237800017;Subvention de Fonctionnement;900.0;aide en numéraire;unique;2016-10-11;;non;1
Toulouse Métropole;24310051800170;;;CLUB GALAXIE ASSOC;48171391500017;Subvention de Fonctionnement;3000.0;aide en numéraire;unique;2016-12-08;;non;1
Toulouse Métropole;24310051800170;;;COLLECTIF DES ASS DES PRADETTES;39176445300034;Subvention de Fonctionnement;1764.0;aide en numéraire;unique;2016-06-07;;non;1
Toulouse Métropole;24310051800170;;;COMMUNE DE BLAGNAC;21310069600011;Subvention d'équipement;800000.0;aide en numéraire;unique;2016-03-01;;non;1
Toulouse Métropole;24310051800170;;;COMMUNE DE COLOMIERS;21310149600015;Subvention de Fonctionnement;19255.73;aide en numéraire;échelonné;2016-12-26;;non;1
Toulouse Métropole;24310051800170;;;COMPAGNIE NELSON DUMONT;33195350500046;Subvention de Fonctionnement;20400.0;aide en numéraire;unique;2016-07-01;;non;1
Toulouse Métropole;24310051800170;;;COORACE OCCITANIE;40173631900047;Subvention de Fonctionnement;7920.0;aide en numéraire;unique;2016-11-21;;non;1
Toulouse Métropole;24310051800170;;;CRESS CHAMBRE REG ECONOMIE SOCIALE ET SOLIDAIRE ASSOC;41120410000035;Subvention de Fonctionnement;8000.0;aide en numéraire;unique;2016-08-22;;non;1
Toulouse Métropole;24310051800170;;;ENAC ECOLE AVIATION CIVILE;19311256200015;Subvention de Fonctionnement;4000.0;aide en numéraire;unique;2016-11-21;;non;1
Toulouse Métropole;24310051800170;;;FIL ROUGE;79133934400040;Subvention de Fonctionnement;11132.02;aide en numéraire;unique;2016-08-02;;non;1
Toulouse Métropole;24310051800170;;;HABITANTS ET ASSOCIATIONS SOLIDAIRES ET UNIES POUR REUSSIR EMPALOT;39365849700028;Subvention de Fonctionnement;4057.0;aide en numéraire;unique;2016-11-02;;non;1
Toulouse Métropole;24310051800170;;;INCUBATEUR REGIONAL NUBBO;43298866500027;Subvention de Fonctionnement;54000.0;aide en numéraire;unique;2016-09-14;;non;1
Toulouse Métropole;24310051800170;;;INRA INSTITUT NATIONAL RECHERCHE AGRONOMIQUE;18007003901134;Subvention de Fonctionnement;2000.0;aide en numéraire;unique;2016-12-05;;non;1
Toulouse Métropole;24310051800170;;;LA MAISON DE L INITIATIVE SCOP;39838610200048;Subvention de Fonctionnement;24429.32;aide en numéraire;échelonné;2016-12-13;;non;1
Toulouse Métropole;24310051800170;;;MADEELI ASSOC;80871552800010;Subvention de Fonctionnement;15000.0;aide en numéraire;unique;2016-12-05;;non;1
Toulouse Métropole;24310051800170;;;MAISON DES DROITS DES ENFANTS ET DES JEUNES;39945352100045;Subvention de Fonctionnement;15180.0;aide en numéraire;échelonné;2016-11-09;;non;1
Toulouse Métropole;24310051800170;;;NATURE MIDI PYRENEES ASSOC;32316822900033;Subvention de Fonctionnement;13300.0;aide en numéraire;unique;2016-10-28;;non;1
Toulouse Métropole;24310051800170;;;NC NUMERICABLE SASU;40046195000034;Subvention d'équipement;16451.7;aide en numéraire;échelonné;2016-12-07;;non;1
Toulouse Métropole;24310051800170;;;PATRIMOINE LANGUEDOCIENNE HLM SA;55080277100034;Subvention d'équipement;1224702.72;aide en numéraire;échelonné;2016-12-19;;non;1
Toulouse Métropole;24310051800170;;;POLE EMPLOI MIDI PYRENEES;13000548116990;Subvention de Fonctionnement;468249.28;aide en numéraire;échelonné;2016-12-26;;non;1
Toulouse Métropole;24310051800170;;;REFLETS;43912405800025;Subvention de Fonctionnement;4000.0;aide en numéraire;unique;2016-10-28;;non;1
Toulouse Métropole;24310051800170;;;REGIONALE FNARS MIDI PYRENEES ASSOC;41071364800013;Subvention de Fonctionnement;7920.0;aide en numéraire;unique;2016-11-18;;non;1
Toulouse Métropole;24310051800170;;;RFTM RECETTE DES FINANCES TOULOUSE MUNICIPALE;13000835201018;Subvention d'équipement;8270276.91;aide en numéraire;échelonné;2016-12-15;;non;1
Toulouse Métropole;24310051800170;;;ROTARY CLUB ASSOC;77695157600037;Subvention d'équipement;5370.0;aide en numéraire;unique;2016-09-23;;non;1
Toulouse Métropole;24310051800170;;;SAVIM SERVICE AIDE AUX VICTIMES D INFORMATION DE MEDIATION ASSOC;39102051800026;Subvention de Fonctionnement;71445.0;aide en numéraire;échelonné;2016-12-20;;non;1
Toulouse Métropole;24310051800170;;;SOCIETA DANTE ALIGHIERI ASSOC;39198888800023;Subvention de Fonctionnement;1000.0;aide en numéraire;unique;2016-07-21;;non;1
Toulouse Métropole;24310051800170;;;SOLIHA HAUTE GARONNE;77695150100043;Subvention d'équipement;115500.0;aide en numéraire;échelonné;2016-09-08;;non;1
Toulouse Métropole;24310051800170;;;SYNDICAT AUTONOME LE GOURDIN FA FPT;;Subvention de Fonctionnement;853.29;aide en numéraire;unique;2016-12-16;;non;1
Toulouse Métropole;24310051800170;;;TERRITOIRES LOGEMENT ET ANALYSES SOCIALES ASSOC;53192045200012;Subvention de Fonctionnement;20400.0;aide en numéraire;unique;2016-10-26;;non;1
Toulouse Métropole;24310051800170;;;THEATRE ET ORCHESTRE DU CAPITOLE;21390533400016;Subvention de Fonctionnement;27780214.0;aide en numéraire;échelonné;2016-11-22;;non;1
Toulouse Métropole;24310051800170;;;TOULOUSE ANDROID USER GROUP;;Subvention de Fonctionnement;4000.0;aide en numéraire;unique;2016-12-08;;non;1
Toulouse Métropole;24310051800170;;;TOULOUSE METROPOLE EMPLOI ASSOC;49252474900032;Subvention de Fonctionnement;292800.0;aide en numéraire;échelonné;2016-12-31;;non;1
Toulouse Métropole;24310051800170;;;UNIVERSITE TOULOUSE 1 CAPITOLE;19311382600013;Subvention d'équipement;1650000.0;aide en numéraire;unique;2016-12-01;;non;1
Toulouse Métropole;24310051800170;;;AGRI SUD OUEST INNOVATION SA;49919608700047;Subvention de Fonctionnement;30000.0;aide en numéraire;échelonné;2016-09-15;;non;1
Toulouse Métropole;24310051800170;;;ACADEMIE AIR ET ESPACE ASSOC;34828655000010;Subvention de Fonctionnement;10000.0;aide en numéraire;unique;2016-12-01;;non;1
Toulouse Métropole;24310051800170;;;AMPM ARCHITECTES SARL;42909059000028;Subvention de Fonctionnement;5000.0;aide en numéraire;unique;2016-10-26;;non;1
Toulouse Métropole;24310051800170;;;ALTERN MOBIL SCIC;50379954600042;Subvention de Fonctionnement;6000.0;aide en numéraire;unique;2016-04-27;;non;1
Toulouse Métropole;24310051800170;;;ADOMA SA;78805803001675;Subvention d'équipement;726869.85;aide en numéraire;échelonné;2016-10-05;;non;1
Toulouse Métropole;24310051800170;;;3PA ASSOC;50870892200028;Subvention de Fonctionnement;4250.0;aide en numéraire;unique;2016-10-28;;non;1
Toulouse Métropole;24310051800170;;;GIP DOC 31 DEPISTAGE ORGANISE DES CANCERS EN HAUTE-GARONNE;13000571300016;Subvention de Fonctionnement;2500.0;aide en numéraire;unique;2016-11-25;;non;1
Toulouse Métropole;24310051800170;;;MAISON DE L ARCHITECTURE OCCITANIE PYRENEES;44365198900024;Subvention de Fonctionnement;26100.0;aide en numéraire;unique;2016-10-28;;non;1
Toulouse Métropole;24310051800170;;;ISAE INSTITUT SUP AERO ET DE L ESPACE;13000427800011;Subvention de Fonctionnement;3000.0;aide en numéraire;unique;2016-11-28;;non;1
Toulouse Métropole;24310051800170;;;MISSION LOCALE ASSOCIATION SIEGE ASSOC;32871136100159;Subvention de Fonctionnement;29000.0;aide en numéraire;unique;2016-12-21;;non;1
Toulouse Métropole;24310051800170;;;LYCEE DEODAT DE SEVERAC GRETA TOULOUSE;19310044300020;Subvention de Fonctionnement;5000.0;aide en numéraire;unique;2016-12-31;;non;1
Toulouse Métropole;24310051800170;;;MIDI PYRENEES ACTIVE ASSOC;47960447200049;Subvention de Fonctionnement;114000.0;aide en numéraire;échelonné;2016-12-08;;non;1
Toulouse Métropole;24310051800170;;;FRANCO HONGROISE MIDI PYRENEES;51310626000013;Subvention de Fonctionnement;500.0;aide en numéraire;unique;2016-09-23;;non;1
Toulouse Métropole;24310051800170;;;ICF ATLANTIQUE HLM SA;77569088600822;Subvention d'équipement;374900.0;aide en numéraire;échelonné;2016-09-13;;non;1
Toulouse Métropole;24310051800170;;;LA MAISON DU VELO ASSOC;48742094500023;Subvention d'équipement;30000.0;aide en numéraire;unique;2016-04-06;;non;1
Toulouse Métropole;24310051800170;;;K DANSE;32694316400029;Subvention de Fonctionnement;10000.0;aide en numéraire;unique;2016-09-07;;non;1
Toulouse Métropole;24310051800170;;;SOUTIEN  ENSEIGNEMENT AUX ENFANTS MALADES ASEEM ASSOC;44453867200023;Subvention de Fonctionnement;1000.0;aide en numéraire;unique;2016-11-18;;non;1
Toulouse Métropole;24310051800170;;;SM POUR L AMENAGEMENT DE LA FORET BOUCONNE;25310113300044;Subvention de Fonctionnement;150000.0;aide en numéraire;unique;2016-07-29;;non;1
Toulouse Métropole;24310051800170;;;SYND MIXTE CONSERVATOIRE BOTANIQUE PYRENEEN;25650215400014;Subvention de Fonctionnement;5000.0;aide en numéraire;unique;2016-12-31;;non;1
Toulouse Métropole;24310051800170;;;TOULOUSE METROPOLE ASSAINISSEMENT;24310051800089;Subvention d'équipement;1543070.08;aide en numéraire;échelonné;2016-12-19;;non;1
Toulouse Métropole;24310051800170;;;ROSALIE ECHANGE SOLDARITE ASSOC;51949930500018;Subvention d'équipement;13500.0;aide en numéraire;unique;2016-07-22;;non;1
Toulouse Métropole;24310051800170;;;SEMECCEL CITE DE L ESPACE;40826624500021;Subvention d'équipement;39917.53;aide en numéraire;unique;2016-07-07;;non;1
Toulouse Métropole;24310051800170;;;SEM SO TOULOUSE;51794933500023;Subvention de Fonctionnement;450000.0;aide en numéraire;échelonné;2016-12-01;;non;1
Toulouse Métropole;24310051800170;;;SNCF RESEAU;41228073700310;Subvention d'équipement;1401087.13;aide en numéraire;échelonné;2016-12-06;;non;1
Toulouse Métropole;24310051800170;;;SYNDICAT INTERCO CFDT MAIRIE TOULOUSE METROPOLE;;Subvention de Fonctionnement;988.89;aide en numéraire;unique;2016-12-16;;non;1
Toulouse Métropole;24310051800170;;;SYNDICAT FORCE OUVRIERE TM;;Subvention de Fonctionnement;1824.09;aide en numéraire;unique;2016-12-16;;non;1
Toulouse Métropole;24310051800170;;;CNRS CTRE NAT DE LA RECHERCHE SCIENTIFIQUE;18008901303720;Subvention d'équipement;1146319.35;aide en numéraire;unique;2016-11-28;;non;1
Toulouse Métropole;24310051800170;;;CRIJ CENTRE REGIONAL INFORMATION JEUNESSE;32703565500023;Subvention de Fonctionnement;500.0;aide en numéraire;unique;2016-07-22;;non;1
Toulouse Métropole;24310051800170;;;ASSOCIATION DU CONSEIL  CITOYEN COLUMERIN;82363550300019;Subvention de Fonctionnement;2903.0;aide en numéraire;unique;2016-12-31;;non;1
Toulouse Métropole;24310051800170;;;ARBRES ET PAYSAGES D AUTAN ASSOC;41406082200023;Subvention de Fonctionnement;3600.0;aide en numéraire;unique;2016-10-28;;non;1
Toulouse Métropole;24310051800170;;;DES ETOILES ET DES AILES ASSOC;52761054700012;Subvention de Fonctionnement;40000.0;aide en numéraire;unique;2016-12-13;;non;1
Toulouse Métropole;24310051800170;;;COMPAGNONS BATISSEURS;77566663900080;Subvention de Fonctionnement;21000.0;aide en numéraire;échelonné;2016-12-31;;non;1
Toulouse Métropole;24310051800170;;;CONSEIL BAFAPATABOR ASSOC;81897927000019;Subvention de Fonctionnement;7444.0;aide en numéraire;unique;2016-08-09;;non;1
Toulouse Métropole;24310051800170;;;CITES UNIES FRANCE ASSOC;30957565200040;Subvention d'équipement;10000.0;aide en numéraire;unique;2016-07-22;;non;1
Toulouse Métropole;24310051800170;;;COMMUNE DE TOULOUSE;21310555400017;Subvention d'équipement;2500000.0;aide en numéraire;échelonné;2016-12-21;;non;1
Toulouse Métropole;24310051800170;;;APUMP ASSOC;42028675900022;Subvention de Fonctionnement;27000.0;aide en numéraire;unique;2016-10-28;;non;1
Toulouse Métropole;24310051800170;;;REG SAUVEGARDE ENFANT ADO ADUL ARSEAA;77558121800192;Subvention de Fonctionnement;62000.0;aide en numéraire;échelonné;2016-12-20;;non;1
Toulouse Métropole;24310051800170;;;ORCHESTRE DE CHAMBRE DE TOULOUSE SCCP;47997515300020;Subvention de Fonctionnement;60000.0;aide en numéraire;échelonné;2016-11-10;;non;1
Toulouse Métropole;24310051800170;;;MOUVEMENT ASSOCIATIF OCCITANIE;48443829600036;Subvention de Fonctionnement;172000.0;aide en numéraire;échelonné;2016-12-08;;non;1
