Code tiers bénéficiaire;Nom bénéficiaire;Montant versé 2015;Section liquidation
6802;LA CITE DES JARDINS HLM SA;424398.29;Investissement
190;ACCUEIL ET FAMILLE PLACEMENT FAMILIAL ASSOC;5779.5;Fonctionnement
65470;TERR EAU CIEL ASSOC;3000.0;Fonctionnement
54892;MIGRATEURS GARONNE DORDOGNE ASSOC MIGADO;2500.0;Fonctionnement
597;CHAMBRE DEPT  AGRICULTURE HAUTE-GARONNE;12512.5;Investissement
39944;RESEAU ENTREPRENDRE MIDI-PYRENNES ASSOC;22550.0;Fonctionnement
41418;LA GRAINERIE ASSOC;222000.0;Fonctionnement
10966;FFPE FEDERATION DES FEMMES POUR L EUROPE;22500.0;Fonctionnement
36729;CLUB DES CONSEILS SYNDICAUX DE LA HAUTE GARONNE;900.0;Fonctionnement
45463;GENOSKIN SAS;20000.0;Investissement
17673;CIE MESSIEURS MESDAMES;5000.0;Fonctionnement
36714;SYNDICAT CGT ORGANISA CUTM;951.09;Fonctionnement
19310;ORAMIP OBSERVATOIRE REGL DE L AIR EN MIDI-PYRENEES ASSOC;170000.0;Fonctionnement
41418;LA GRAINERIE ASSOC;14330.0;Investissement
7826;CROUS CENTRE REGIONAL OEUVRES UNIVERSITAIRES SCOLAIRES;240000.0;Investissement
41525;COLOMIERS HABITAT  HLM SA;717240.0;Investissement
24011;SOLAGRO ASSOC;90982.54;Fonctionnement
31601;REGIONALE FNARS MIDI PYRENEES ASSOC;7920.0;Fonctionnement
13889;ITINERAIRE INTERNATIONAL ASSOC;10000.0;Fonctionnement
55308;ACOUCITE ASSOC;25000.0;Fonctionnement
36446;CLUB GALAXIE ASSOC;3000.0;Fonctionnement
21617;REFLETS ASSOC;1600.0;Fonctionnement
36716;SYNDICAT FORCE OUVRIERE TM;1824.09;Fonctionnement
57235;METEO FRANCE DIRECTION DE LA PRODUCTION;4000.0;Fonctionnement
35471;IMMOBILIERE MIDI PYRENEES SA LA VALLEE DU THORE;588440.0;Investissement
19032;NUMERICABLE SAS;2307.02;Investissement
14608;K DANSE;10000.0;Fonctionnement
2863;COMPAGNIE LA BARAQUE;15000.0;Fonctionnement
73798;54 H CHRONO;2000.0;Fonctionnement
40103;CLAP MIDI PYRENEES - CRLAPP;7000.0;Fonctionnement
59019;PIXIENCE;20000.0;Investissement
50252;PARTAGEONS LES JARDINS ASSOC;6500.0;Fonctionnement
1706;MAISON DE L ARCHITECTURE MIDI-PYRENEES ASSOC;27000.0;Fonctionnement
40100;UREI UNION REG ENTREP INSERTION MIDI PYRENEES ASSOC;7920.0;Fonctionnement
570;AGIT GROUPE INTERVENTIONS THEATRALES ASSOC;18000.0;Fonctionnement
9423;COMPAGNIE NELSON DUMONT;36000.0;Fonctionnement
19893;PATRIMOINE LANGUEDOCIENNE HLM SA;1865502.28;Investissement
41678;AEROSPACE VALLEY ASSOC;80000.0;Fonctionnement
51566;AGENCE DE DEV ECONOMIQUE TOULOUSE METROPOLE - INVEST IN TLSE ASSOC;450000.0;Fonctionnement
7758;CRESS CHAMBRE REG ECONOMIE SOCIALE ET SOLIDAIRE ASSOC;14000.0;Fonctionnement
46370;UNIVERSITE TOULOUSE 2 TOULOUSE LE MIRAIL;2700.0;Fonctionnement
21858;SNCF RESEAU;2269931.06;Investissement
16668;LA MAISON DU VELO ASSOC;30000.0;Investissement
47296;EUROPEENNE DU FILM D ANIMATION CARTOON ASSOC;50000.0;Fonctionnement
21619;REFLET 31 ASSOC;14742.11;Fonctionnement
50471;LES IMAGINATIONS FERTILES SRL;14000.0;Fonctionnement
43254;TERRITOIRES LOGEMENT ET ANALYSES SOCIALES ASSOC;20400.0;Fonctionnement
25766;3PA ASSOC;4500.0;Fonctionnement
55765;HUMUS ET ASSOCIES ASSOC;3000.0;Fonctionnement
19748;ECOLE DES PARENTS ET EDUCATEURS;51994.0;Fonctionnement
18705;NATURE MIDI PYRENEES ASSOC;14000.0;Fonctionnement
20890;PREFECTURE DE LA HAUTE GARONNE;4731651.88;Investissement
40861;REGION MIDI PYRENEES;2601464.84;Investissement
21046;PROMOLOGIS SA;2900510.0;Investissement
46403;LA GLANERIE ASSOC;140000.0;Fonctionnement
34807;SFHE;154504.0;Investissement
25900;FRANCE NATURE ENVIRONNEMENT MIDI-PYRENEES;2400.0;Fonctionnement
80422;EASYTRI SARL;5000.0;Investissement
13878;INSTITUT NATIONAL POLYTECHNIQUE DE TOULOUSE;350000.0;Investissement
7776;CRIJ CENTRE REGIONAL INFORMATION JEUNESSE;2000.0;Fonctionnement
41408;LA  MELEE ASSOC;109000.0;Fonctionnement
39069;SYNETHIC ASSOC;5000.0;Fonctionnement
37907;GRISELIDIS ASSOC;4000.0;Fonctionnement
13886;INSERM;1250000.0;Investissement
19288;HABITAT TOULOUSE OFFICE PUBLIC DE L HABITAT;5840475.12;Investissement
21330;COMMUNE DE QUINT FONSEGRIVES;19614.84;Investissement
6307;CHAMBRE DES METIERS  HTE GARONNE;2500.0;Fonctionnement
76195;MOUVEMENT EUROPEEN HAUTE-GARONNE ASSOC;700.0;Fonctionnement
37943;MISSION LOCALE ASSOCIATION SIEGE ASSOC;29000.0;Fonctionnement
11498;FRANCO HONGROISE MIDI PYRENEES;1400.0;Fonctionnement
6518;LES CHEMINS BUISSONNIERS ASSOC;2000.0;Fonctionnement
40083;OBSERVER IMMOBILIER TOULOUSAIN ASSOC;30000.0;Fonctionnement
39721;DGFIP SITE OCCITANE;747362.0;Investissement
38604;CTRE NAT DE LA RECHERCHE SCIENTIFIQUE;1019627.92;Investissement
35467;DICVIE ASSOC;5000.0;Fonctionnement
3832;ALTERN MOBIL SCIC;5000.0;Investissement
7789;CRL CENTRE REGIONAL DES LETTRES ASSOC;10000.0;Fonctionnement
70723;GPT LA GARONNE EUREA SCAM;36166.3;Investissement
30644;REG SAUVEGARDE ENFANT ADO ADUL ARSEAA ASSOC;38000.0;Fonctionnement
71836;SNI SUD OUEST AGENCE TOULOUSE SA;10840.0;Investissement
41019;MIDI PYRENEES EXPANSION;15000.0;Fonctionnement
20926;PREVENTION ROUTIERE ASSOC;1800.0;Fonctionnement
81465;SYNDICAT AUTONOME LE GOURDIN FA FPT;853.29;Fonctionnement
34682;TOULOUSE METROPOLE EAU POTABLE;63175.87;Investissement
41704;ICF ATLANTIQUE HLM SA;71503.0;Investissement
5864;CAUSSAT ESPACES VERTS SAS;3000.0;Investissement
3969;COMMUNE DE BLAGNAC;800000.0;Investissement
23051;SAVIM SERVICE AIDE AUX VICTIMES D INFORMATION DE MEDIATION ASSOC;71445.0;Fonctionnement
40065;UIMM MIDI-PYRENEES;5000.0;Fonctionnement
32197;ANAH AGENCE NATIONALE DE L HABITAT;700000.0;Investissement
9648;LES ECO LIES ASSOC;900.0;Fonctionnement
36090;POINT RENCONTRE CHOMEURS ET PRECAIRE ASSOC;8000.0;Fonctionnement
6289;DES CHALETS HLM SA;2232538.0;Investissement
40851;ADOMA SA;452000.0;Investissement
37941;ARPADE CPVA ASSOC;139510.0;Fonctionnement
4720;VIA BRACHY ASSOC;21120.0;Fonctionnement
25978;UNION REG SOCIETES COOPERATIVE DE PRODUCTION ASSOC;12000.0;Fonctionnement
40127;INCUBATEUR MIDI-PYRENEES ASSOC;54000.0;Fonctionnement
40094;DELL ARTE ASSOC;18000.0;Fonctionnement
25930;UNIS CITE ASSOC;28270.0;Fonctionnement
9789;ODRADEK ASSOC;5000.0;Investissement
16669;AVENIR NOUVELLE MAISON DES CHOMEURS ASSOC;10000.0;Fonctionnement
54709;FIL ROUGE ASSOC;16698.02;Fonctionnement
39054;ADN MP DIGITAL PLACE ASSOC;20000.0;Fonctionnement
13678;INITIATIVES POUR UNE ECONOMIE SOLIDAIRE - IES - SCIC;13000.0;Fonctionnement
5985;CHAMBRE COMMERCE INDUSTRIE DE TOULOUSE;131821.2;Fonctionnement
8743;DERBI;24000.0;Fonctionnement
33421;CENT POUR CENT PUR SPORT ASSOC;3000.0;Fonctionnement
55496;FEDERATION DES MOTARDS EN COLERE DE LA HAUTE GARONNE;1620.0;Fonctionnement
34197;LES VIDEOPHAGES ASSOC;6000.0;Fonctionnement
10941;FESTIVAL LIVRE JEUNESSE MIDI PYRENEES;6000.0;Fonctionnement
6208;SYNDICAT INTERCO CFDT MAIRIE TOULOUSE METROPOLE;988.89;Fonctionnement
25566;SEM DEVELOPPEMENT TOURISME REGIONAL - SO TOULOUSE;90000.0;Fonctionnement
6706;CENTRE INFORMATION SUR DROITS FEMMES ET FAMILLES HAUTE GARONNE ASSOC;5522.0;Fonctionnement
37257;OPPIDEA SEM;2000000.0;Investissement
39725;RFTM RECETTE DES FINANCES TOULOUSE MUNICIPALE;1338631.75;Investissement
47558;DEPARTEMENTALE FRANCAS HAUTE-GARONNE ASSOC;900.0;Fonctionnement
74939;ESN TOULOUSE ASSOC;600.0;Fonctionnement
51184;COMPAGNIE DES MOBILITES SARL;69000.0;Investissement
74757;REGION INTERPROFESSION PORCINE - MIDIPORC - ASSOC;4000.0;Fonctionnement
20920;UNIVERSITE FEDERALE TOULOUSE MIDI-PYRENEES;545661.5;Investissement
6863;CLASSISCO POUR LA MUSIQUE A L ECOLE ASSOC;15000.0;Fonctionnement
56716;UNION SOCIALE POUR L HABITAT MIDI PYRENEES ASSOC;16200.0;Fonctionnement
23050;PROTECTION ENFANCE ET ADOLESCENCE ASSOC;8160.0;Fonctionnement
31838;LA MAISON DE L INITIATIVE SCOP;11000.0;Fonctionnement
12617;GRAINE MIDI PYRENEES ASSOC;3600.0;Fonctionnement
48395;DES ETOILES ET DES AILES ASSOC;65000.0;Fonctionnement
18888;AMICALE DU NID ASSOC;4200.0;Fonctionnement
25730;TRESORERIE COLOMIERS LEGUEVIN;3000.0;Fonctionnement
1712;ECOLE ARCHITECTURE DE TOULOUSE;3500.0;Fonctionnement
39818;COMMUNE DE TOULOUSE;3700000.0;Investissement
17998;MIXARTS MYRYS ASSOC;160000.0;Fonctionnement
78037;COMPAGNONS BATISSEURS ASSOC;15000.0;Fonctionnement
19120;OCT ORCHESTRE CHAMBRE TOULOUSE SARL;50000.0;Fonctionnement
18030;MOBILIB CITIZ TOULOUSE SCIC;68000.0;Fonctionnement
19541;SOLIHA HAUTE GARONNE;29700.0;Investissement
34782;BIOMEDICAL ALLIANCE ASSOC;5000.0;Fonctionnement
27180;CANCER BIO SANTE ASSOC;80000.0;Fonctionnement
23436;SEQUENCE ASSOC;5500.0;Fonctionnement
33461;TOULOUSE METROPOLE EMPLOI ASSOC;300000.0;Fonctionnement
80421;4 R CONCEPT SAS;3000.0;Investissement
40541;L USINE ASSOC;226000.0;Fonctionnement
2001;ARTILECT ASSOC;20000.0;Fonctionnement
75645;TOULOUSE ANDROID USER GROUP;1000.0;Fonctionnement
40087;ADIL 31 ASSOC;126000.0;Fonctionnement
40916;ACADEMIE AIR ET ESPACE ASSOC;10000.0;Fonctionnement
8772;DESBALS SERVICES REGIE DE QUARTIER;3300.0;Fonctionnement
35728;ORANGE SA;123768.05;Investissement
74472;UROSPHERE SAS;40000.0;Investissement
9274;MAISON DES DROITS DE L ENFANT ASSOC;16423.5;Fonctionnement
33087;COORACE MIDI PYRENEES;7920.0;Fonctionnement
33720;POLE EMPLOI MIDI PYRENEES;613935.11;Fonctionnement
40162;ECOLE REGIONALE 2EME CHANCE ASSOC;150000.0;Fonctionnement
38418;CARREFOURS POUR L EMPLOI;90000.0;Fonctionnement
40278;BGE SUD OUEST ASSOC;13000.0;Fonctionnement
40096;ADIE DROIT A L INITIATIVE ECONOMIQUE ASSOC;25000.0;Fonctionnement
17732;MFPF MOUVEMENT FRANCAIS PLANNING FAMILIAL HAUTE-GARONNE ASSOC;17000.0;Fonctionnement
25868;SYNDICAT UECT UNSA UNION EMPLOYE;1477.29;Fonctionnement
34994;TRAVAIL DIFFERENT ASSOC;6962.9;Fonctionnement
353;DEV PROM ECONOMIE SOLIDAIRE ASSOC;17000.0;Fonctionnement
2472;ASF AUTOROUTES SUD DE LA FRANCE SA;148718.51;Investissement
11635;FULLSAVE SAS;8000.0;Investissement
54889;ASS DEV EPREUV EDUCAT ECO-MOBILITE ASSOC;4000.0;Fonctionnement
39973;TISSEO SMTC AGGLOMERATION TOULOUSAINE;10010500.0;Investissement
2502;AVANT MARDI ASSOC;4000.0;Fonctionnement
10580;FACE GRAND TOULOUSE  ASSOC;19400.0;Fonctionnement
32049;AGRI SUD OUEST INNOVATION SA;24000.0;Fonctionnement
9694;ECOLE DES DROITS DE L HOMME ASSOC;23000.0;Fonctionnement
2330;AUAT AGENCE  URBANISME AGGLOMERATION TOULOUSAINE ASSOC;2025000.0;Fonctionnement
36154;COMITE BASSIN  EMPLOI NORD HAUTE GARONE ASSOC;5638.25;Fonctionnement
16668;LA MAISON DU VELO ASSOC;230000.0;Fonctionnement
66736;SOLIBRE ASSOC;10000.0;Fonctionnement
47912;ERABLES 31;2000.0;Fonctionnement
12702;GREENBURO SARL;5000.0;Investissement
70478;GEIQ PROPRETE TOULOUSE ASSOC;20000.0;Fonctionnement
67987;SYNDICAT APICULTEURS MIDI PYRENEES;3000.0;Fonctionnement
51458;MOUVEMENT ASSOCIATIF MIDI-PYRENEES ASSOC;165000.0;Fonctionnement
33414;APUMP ASSOC;30000.0;Fonctionnement
40184;COOP ACTION SARL;11000.0;Fonctionnement
14272;COLLECTIF JEUNES DU MONDE;3000.0;Fonctionnement
6220;UNION REGIONALE CFTC MIDI PYRENEES;341.49;Fonctionnement
36707;SYNDICAT SUD CUTM;933.43;Fonctionnement
16851;TOULOUSE LE MARATHON DU LIVRE ASSOC;400000.0;Fonctionnement
43452;MOUVEMENT DES ENTREPRENEURS SOCIAUX ASSOC;18000.0;Fonctionnement
25191;THEATRE GARONNE ASSOC;10000.0;Fonctionnement
30171;2 BOUTS ASSOC;4500.0;Fonctionnement
73763;FONCIERE D HABITAT ET HUMANISME SA;287200.0;Investissement
40134;NOUVEAU LOGIS MERIDIONAL HLM SA;478280.0;Investissement
39057;MIDI PYRENEES ACTIVE ASSOC;115700.0;Fonctionnement
10445;MAISON  EUROPE ASSOC;7062.0;Fonctionnement
59016;SELEXEL;20000.0;Investissement
