Nom des bénéficiaires;Montant fonds de concours ou subvention Année 2012;Année
Adoma;1229625.0;2012
Agence de Développement Economique Toulouse Métropole;263000.0;2012
ANAH Agence Nationale de l'Habitat;533217.0;2012
Avenir Nouvelle Maison des Chômeurs;10000.0;2012
Chambre de Commerces et d'Industrie de Toulouse;78100.0;2012
CIDF CEDIFF Centre Info Droits des Femmes et des Familles;3080.0;2012
CNRS Cemes;500000.0;2012
Colomiers Habitat;1139052.45;2012
Commune de Toulouse;80000.0;2012
Compagnie des Mobilités;20000.0;2012
Contact HG;5500.0;2012
COORACE Midi Pyrénées;9000.0;2012
CPCA Midi Pyrénées;60000.0;2012
CRESS;16000.0;2012
DGFIP Site Occitane;63356.0;2012
DICVIE;5000.0;2012
DO RE MI FA Sports;10000.0;2012
Droit à l'initiative Economique;30000.0;2012
Ecole des Parents et Educateurs;48600.0;2012
Face;16000.0;2012
Festival Livre Jeunesse Midi Pyrénées;4500.0;2012
FFPE FED Femme Pour l'Europe;18000.0;2012
IAE Université de Toulouse;4000.0;2012
IEJUC Conférence Permanente de Sciences Sociales de l'urbanisme;25000.0;2012
Incubateur Midi Pyrénées;54000.0;2012
La Mêlée;99000.0;2012
Maison de l'initiative SCOT Sosten Conseil;15000.0;2012
Maison des Droits de l'Enfant;12930.0;2012
Mission Locale Toulouse Siège;29000.0;2012
Mix Art Myrys;104500.0;2012
Organisation Bus Cyclistes;2000.0;2012
Patrimoine HLM Languedocienne;1181580.2;2012
Pôle Emploi Midi Pyrénées;148550.4;2012
SEMIDIAS;57049.1;2012
SOLAGRO;97500.0;2012
Syndicat CFTC Personnel GT;381.4;2012
Syndicat Copropriétés Les Tournesols;18461.58;2012
Syndicat Force Ouvrière Personnel CUGT;2341.0;2012
Syndicat National des Directeurs Généraux Collectivités Territoriales;15000.0;2012
Toulouse Métropole Emploi;257600.0;2012
Union Régionale Sociétés Coopératives de Production;46000.0;2012
API;794.44;2012
APUMP;30000.0;2012
Association Bois et Compagnie 3PA;8000.0;2012
Association des Etoiles et des Ailes;40000.0;2012
