Bénéficiaire;Nature subventions;Montant 2014 
ASSOCIATION GUIDE;Equipement;50000.0
INRA INSTITUT NATIONAL RECHERCHE AGRONOMIQUE;Equipement;200000.0
LA  MELEE;Equipement;27243.94
PIXIENCE;Equipement;30000.0
INP TOULOUSE;Equipement;279768.24
ONERA;Equipement;65560.0
RESEAU FERRE DE France;Equipement;9628229.33
DGFIP;Equipement;1314977.0
SEMECCEL CITE DE L'ESPACE;Equipement;640082.47
FACE GRAND TOULOUSE;Fonctionnement;13000.0
AGENCE DE DEVELOPPEMENT ECONOMIQUE TOULOUSE METROPOLE;Fonctionnement;230000.0
ASS DROIT A L INITIATIVE ECONOMIQUE;Fonctionnement;5000.0
CARREFOURS POUR L EMPLOI;Fonctionnement;90000.0
COMMUNE DE COLOMIERS;Fonctionnement;6000.0
FACE GRAND TOULOUSE;Fonctionnement;24000.0
AGRIMIP INNOVATION;Fonctionnement;30000.0
CANCER BIO SANTE;Fonctionnement;115000.0
COOP ACTION;Fonctionnement;18000.0
MAISON DE L INITIATIVE SCOT SOSTEN CONSEIL;Fonctionnement;15000.0
UNION REG SOCIETES COOPERATIVE DE PRODUCTION;Fonctionnement;44000.0
MIDI PYRENEES ACTIVE;Fonctionnement;17500.0
CNRS;Fonctionnement;1000.0
RESEAU ENTREPRENDRE MIDI-PYRENNES;Fonctionnement;12000.0
MAISON EUROPE;Fonctionnement;19200.0
ECOLE DES DROITS DE L HOMME;Fonctionnement;22500.0
AVANT MARDI;Fonctionnement;4000.0
CIDF CEDIFF CENTRE INFO DROITS DES FEMMES ET DES FAMILLES;Fonctionnement;10000.0
UREI;Fonctionnement;9000.0
CLAP MIDI PYRENEES CRLAPP;Fonctionnement;1500.0
ECOLE DES PARENTS ET EDUCATEURS;Fonctionnement;48600.0
LA MAISON DE L INITIATIVE SCOP;Fonctionnement;5073.74
TRAVAIL DIFFERENT;Fonctionnement;8154.56
ASSOCIATION TERRITOIRES LOGEMENT ET ANALYSES SOCIALES;Fonctionnement;22680.0
AD3E ECOMOBILITE;Fonctionnement;5000.0
FRANCE NATURE ENVIRONNEMENT MIDI-PYRENEES;Fonctionnement;1250.0
GRAINE MIDI PYRENEES;Fonctionnement;5000.0
LES PETITS DEBROUILLARDS MIDI PY;Fonctionnement;8000.0
INSTITUT FORMATION SLOW FOOD;Fonctionnement;1000.0
