Nom des bénéficaires;Montant fonds de concours ou subvention (numéraire) Année 2011;Année
Agrimip Innovation;30000.0;2011
ARPADE;43744.06;2011
ARPADE;60900.0;2011
Association Doremifasports;15000.0;2011
Biomédical Alliance;10000.0;2011
CCIT de Toulouse;78100.0;2011
Cent pour cent pur sport;2000.0;2011
Centre Communal d'Action Sociale;12326.73;2011
Cité Jardins (La);808231.0;2011
Comité Bassin emploi Haute Garonne;14274.68;2011
Commune de Cugnaux;12147.22;2011
Compagnie la Baraque;15000.0;2011
COSAT Comité des uvres sociales;50475.75;2011
Créer Boutique de Gestion BGE;13000.0;2011
CRESS;10000.0;2011
Emergence Plus;5000.0;2011
Emmaüs Toulouse Labarthe sur Lèze;95680.0;2011
GIP Réussite éducative Grand Toulouse;90000.0;2011
GRAPHITI;13000.0;2011
Griselidis;3000.0;2011
INPT-Formation continue;60000.0;2011
INSERM;2500000.0;2011
Maison de l'emploi;78800.0;2011
Midi Pyrénées Actives;24000.0;2011
Numéricable;27478.55;2011
ORAMIP;116550.0;2011
Pôle Emploi Midi Pyrénées;352456.67;2011
Prefig Confluence Garonne Ariège;4002.0;2011
Promologis SA D HLM;1168071.48;2011
Reflets;1750.0;2011
SEM Mint Marché INT Nat Toulouse;5100000.0;2011
SEMIDIAS;14487.56;2011
Solagro;65000.0;2011
Syndica INTERCO CFDT MAIRIE TLS;953.2;2011
Syndicat CFTC PERSONNEL GT;381.4;2011
Syndicat Intercommunal Bouconne;185500.0;2011
Yeo International;62500.0;2011
ADEPES;22400.0;2011
Aérospace Valley;100000.0;2011
ASPJ;68500.0;2011
AUAT Agence Urbaine Aménagement TER Toulouse;2151070.0;2011
Cancer Bio Santé;100000.0;2011
Carrefours pour l'emploi;90000.0;2011
Centre E-Santé;92500.0;2011
Commune de Blagnac;10475.3;2011
Commune de Fonbeauzard;6000.0;2011
Conseil Régional Midi Pyrénées;414008.7;2011
Coorace Midi Pyrénées;9000.0;2011
DELL ARTE;20000.0;2011
DICVIE;5000.0;2011
Etymon;4500.0;2011
FACE;20000.0;2011
France Nature Environnement;1850.0;2011
Immobilière Midi Pyrénées;25680.0;2011
INRA;66213.0;2011
La Glanerie;80000.0;2011
La Glanerie;172300.0;2011
La Grainerie;165000.0;2011
La ligue de l'enseignement 31;20000.0;2011
La Mélée;26000.0;2011
Mairie de Colomiers;33000.0;2011
MFPF 31;11000.0;2011
Mission Locale Toulouse;11600.0;2011
Nelson Dumont Compagnie;40000.0;2011
Oppidea;2022580.0;2011
Pres Université de Toulouse;9000.0;2011
SEM Constellation;158779.95;2011
SFHE;342720.0;2011
Syndicat CGT ORGANISA CUGT;1201.6;2011
Syndicat Copro Les Pervenches;43127.14;2011
Syndicat FORCE OUVRIERE PERSONNE;2341.0;2011
UNIS CITE;20278.0;2011
Université Toulouse Le Mirail UT;17000.0;2011
URSCOP;10000.0;2011
31 Entreprendre Investissements;18000.0;2011
Agence Nationale de l'habitat;500000.0;2011
AGIT GRPT Intervention théatrale;20000.0;2011
AITF Associations des Ingénieurs Territoriaux;2000.0;2011
ARPADE CPVA;26520.0;2011
Association droit à l'initiative économique;25000.0;2011
Association regionale chantiers importants;35000.0;2011
Association Via Brachy;8000.0;2011
AUAT Agence Urbaine Aménagement TER Toulouse;105000.0;2011
Cabinet L'immeuble SDC;3998.4;2011
CCI Zaragoza;11102.98;2011
CCIT de Toulouse;25169.82;2011
Chevrefeuille association;50000.0;2011
Colomiers Habitat;1239968.19;2011
Commune de Tournefeuille;82871.0;2011
Compétences Plus;14000.0;2011
CRIC Centre de rééducation des invalides;250000.0;2011
CROUS;1399200.0;2011
Ecole des droits de l'Homme;13000.0;2011
Ecole des Parents et Educateurs;65660.0;2011
Ecole régionale 2ème chance;160000.0;2011
Festival du livre jeunesse de Midi Pyrénées;3500.0;2011
FNARS Région Midi Pyrénées;19464.0;2011
Griselidis;4000.0;2011
HLM Des Chalets;730526.26;2011
ICF Atlantique SA D HLM;272760.0;2011
IEJUC;30000.0;2011
Lherm TP Midi Pyrénées;56431.87;2011
L'usine;7105.31;2011
Lyberta SAS;50000.0;2011
MIX ART MYRYS;40000.0;2011
MIX ART MYRYS;88200.0;2011
Mouves;10000.0;2011
Rivière et Amouroux;69000.0;2011
SOLEIL;39780.0;2011
URSCOP;50000.0;2011
Académie Air et Espace;10000.0;2011
Amicale du Nid;2520.0;2011
Association CIDFF Haute Garonne;2661.0;2011
Association SAVIM;52300.0;2011
CERME;14022.0;2011
Chambre d'Agriculture de la Haute Garonne;8500.0;2011
Classisco;15000.0;2011
Club Galaxie;2500.0;2011
Commune de Tournefeuille;16447.97;2011
COOP ACTION;10000.0;2011
DRFP Midi Pyrénées et Haute Garonne;18982.95;2011
France Telecom EGT Siege;31838.19;2011
Graine Midi Pyrénées;2500.0;2011
Habitat Toulouse;1225041.3;2011
IMO LLEIDA;12348.9;2011
Incubateur Midi Pyrénées;54000.0;2011
K DANSE;10000.0;2011
La ligue de l'enseignement 31;1047000.0;2011
Les petits débrouillards Midi Pyrénées;5000.0;2011
Les vidéophages;6000.0;2011
L'usine;195000.0;2011
Maison de l'initiative;10000.0;2011
Mission Locale Toulouse Siège;29000.0;2011
MIX ART MYRYS;90000.0;2011
Observer;35000.0;2011
Point Rencontre Chômeur et Précaire;8000.0;2011
Prévention routière;2000.0;2011
Promosalons Salon SIANE;5000.0;2011
Recherche Innovation Thérapeutique Cancéropôle;70000.0;2011
Réseau Ferré de France RFF;4805049.34;2011
Réseau Ferré de France RFF;4986996.05;2011
SA IES;10000.0;2011
SAVIF;8000.0;2011
Sciences animations;34500.0;2011
SO TOULOUSE SEM Région Toulousaine;50000.0;2011
Université Toulouse 1 Sciences Sociales;309783.0;2011
UREI;18000.0;2011
31 Entrepredre Investissements;3000.0;2011
Accueil et famille;5885.0;2011
ADN MP Digital Place;16000.0;2011
Association PAZ;500.0;2011
Associations Espoir;6911.92;2011
Avant Mardi;4000.0;2011
Avenir Nouvelle Maison des chômeurs;10000.0;2011
Cancer Bio Santé;20000.0;2011
CCI Tarrasa;10253.43;2011
Club des conseils syndicaux;500.0;2011
Commune de Castelginest;7514.86;2011
FFPE;18000.0;2011
Fondation JJ Lafont;5000.0;2011
FREDEC MIDI PYRENEES;4000.0;2011
HANDI PRO 31;16467.54;2011
HLM Nouveau Logis Meridional;1281264.31;2011
La Grainerie;20000.0;2011
Ligue Française Santé Mentale;5000.0;2011
Maison des droits de l'enfant;9000.0;2011
Maison du vélo;208000.0;2011
Office Public HLM 31;93768.0;2011
Oncopôle de Toulouse;50000.0;2011
ONERA;250000.0;2011
Orange Bus Service France Telecom;42494.79;2011
Patrimoine Languedocienne HLM;1787621.07;2011
Recettes des Finances Toulouse Municipal;5000000.0;2011
SFPO Association Psychologie et Cancer;1000.0;2011
Start Up Week End France;3000.0;2011
Syndicat FAFPT31;375.0;2011
Syndicat SUD CUGT;747.0;2011
Syndicat UECT UNSA UNION EMPLOYE;1393.0;2011
