nomAttribuant,idAttribuant,dateConvention,referenceDecision,nomBeneficiaire,idBeneficiaire,objet,montant,nature,conditionsVersement,datesPeriodeVersement,idRAE,notificationUE,pourcentageSubvention,annee,mois,type
Toulouse Métropole,24310051800170,NA,NA,ADN MP DIGITAL PLACE ASSOC,53108169300024,Subvention de Fonctionnement,24000,aide en numéraire,échelonné,2012-12-12,NA,non,1,2012,12,Autres organisations fonctionnant par adhésion volontaire
Toulouse Métropole,24310051800170,NA,NA,MFPF MOUVEMENT FRANCAIS PLANNING FAMILIAL HAUTE-GARONNE ASSOC,49040073600024,Subvention de Fonctionnement,12000,aide en numéraire,unique,2012-06-26,NA,non,1,2012,6,Action sociale sans hébergement n.c.a.
Toulouse Métropole,24310051800170,NA,NA,GIP DOC 31 DEPISTAGE ORGANISE DES CANCERS EN HAUTE-GARONNE,13000571300016,Subvention de Fonctionnement,5000,aide en numéraire,unique,2012-12-10,NA,non,1,2012,12,Adm. pub. tutelle santé form. cult. & social (aut que sécu. soc.)
Toulouse Métropole,24310051800170,NA,NA,MOUVEMENT DES ENTREPRENEURS SOCIAUX ASSOC,52006778600035,Subvention de Fonctionnement,28000,aide en numéraire,échelonné,2012-10-31,NA,non,1,2012,10,Autres organisations fonctionnant par adhésion volontaire
Toulouse Métropole,24310051800170,NA,NA,MAISON EMPLOI DE TOULOUSE ASSOC,49252474900016,Subvention de Fonctionnement,5000,aide en numéraire,unique,2012-09-21,NA,non,1,2012,9,Autres organisations fonctionnant par adhésion volontaire
Toulouse Métropole,24310051800170,NA,NA,MIX ARTS MYRYS ASSOC,41816980100044,Subvention de Fonctionnement,104500,aide en numéraire,échelonné,2012-12-17,NA,non,1,2012,12,Autres organisations fonctionnant par adhésion volontaire
Toulouse Métropole,24310051800170,NA,NA,ICF ATLANTIQUE HLM SA,77569088600822,Subvention d'équipement,117200,aide en numéraire,échelonné,2012-12-10,NA,non,1,2012,12,Location de logements
Toulouse Métropole,24310051800170,NA,NA,INCUBATEUR REGIONAL NUBBO,43298866500027,Subvention de Fonctionnement,54000,aide en numéraire,unique,2012-12-12,NA,non,1,2012,12,Conseil pour les affaires et autres conseils de gestion
Toulouse Métropole,24310051800170,NA,NA,GRISELIDIS ASSOC,43243801800041,Subvention de Fonctionnement,4000,aide en numéraire,unique,2012-07-26,NA,non,1,2012,7,Autres organisations fonctionnant par adhésion volontaire
Toulouse Métropole,24310051800170,NA,NA,K DANSE,32694316400029,Subvention de Fonctionnement,10000,aide en numéraire,unique,2012-09-26,NA,non,1,2012,9,Arts du spectacle vivant
Toulouse Métropole,24310051800170,NA,NA,MISSION LOCALE TOULOUSE,NA,Subvention de Fonctionnement,58782.34,aide en numéraire,unique,2012-03-16,NA,non,1,2012,3,Administration publique (tutelle) des activités économiques
Toulouse Métropole,24310051800170,NA,NA,PATRIMOINE LANGUEDOCIENNE HLM SA,55080277100034,Subvention d'équipement,905869.8,aide en numéraire,échelonné,2012-12-06,NA,non,1,2012,12,Promotion immobilière de logements
Toulouse Métropole,24310051800170,NA,NA,OBSERVER IMMOBILIER TOULOUSAIN,48118780500033,Subvention de Fonctionnement,21000,aide en numéraire,unique,2012-09-10,NA,non,1,2012,9,Autres organisations fonctionnant par adhésion volontaire
Toulouse Métropole,24310051800170,NA,NA,SNI SUD OUEST AGENCE TOULOUSE SA,47080116802486,Subvention d'équipement,43360,aide en numéraire,unique,2012-07-24,NA,non,1,2012,7,Location de logements
Toulouse Métropole,24310051800170,NA,NA,PREVENTION ROUTIERE ASSOC,77571979202437,Subvention de Fonctionnement,2000,aide en numéraire,unique,2012-06-25,NA,non,1,2012,6,Autres organisations fonctionnant par adhésion volontaire
Toulouse Métropole,24310051800170,NA,NA,SNCF RESEAU,41228073700310,Subvention d'équipement,10229946.92,aide en numéraire,échelonné,2012-12-06,NA,non,1,2012,12,Services auxiliaires des transports terrestres
Toulouse Métropole,24310051800170,NA,NA,SAS BIOVA,80991562200017,Subvention de Fonctionnement,4000,aide en numéraire,unique,2012-11-15,NA,non,1,2012,11,"Analyses, essais et inspections techniques"
Toulouse Métropole,24310051800170,NA,NA,ORANGE SA,38012986646850,Subvention d'équipement,136977.06,aide en numéraire,échelonné,2012-12-12,NA,non,1,2012,12,Télécommunications filaires
Toulouse Métropole,24310051800170,NA,NA,OCTOPUS,35408547400030,Subvention de Fonctionnement,4000,aide en numéraire,unique,2012-12-31,NA,non,1,2012,12,Activités de soutien au spectacle vivant
Toulouse Métropole,24310051800170,NA,NA,SYNDICAT COPRO LES JONQUILLES,NA,Subvention d'équipement,18119.28,aide en numéraire,unique,2012-02-28,NA,non,1,2012,2,Activités combinées de soutien lié aux bâtiments
Toulouse Métropole,24310051800170,NA,NA,SDS LES CASTALIDES JUDICIAIRE,NA,Subvention d'équipement,85000,aide en numéraire,unique,2012-12-11,NA,non,1,2012,12,NA
Toulouse Métropole,24310051800170,NA,NA,CENT POUR CENT PUR SPORT ASSOC,44840068900023,Subvention de Fonctionnement,2000,aide en numéraire,unique,2012-08-03,NA,non,1,2012,8,Autres organisations fonctionnant par adhésion volontaire
Toulouse Métropole,24310051800170,NA,NA,DES CHALETS HLM SA,66080284400028,Subvention d'équipement,2284157,aide en numéraire,échelonné,2012-12-07,NA,non,1,2012,12,Location de logements
Toulouse Métropole,24310051800170,NA,NA,BGE SUD OUEST ASSOC,31596310800206,Subvention de Fonctionnement,13000,aide en numéraire,unique,2012-09-20,NA,non,1,2012,9,Formation continue d'adultes
Toulouse Métropole,24310051800170,NA,NA,COORACE OCCITANIE,40173631900047,Subvention de Fonctionnement,9000,aide en numéraire,unique,2012-07-23,NA,non,1,2012,7,Autres organisations fonctionnant par adhésion volontaire
Toulouse Métropole,24310051800170,NA,NA,DELL ARTE ASSOC,41375052200042,Subvention de Fonctionnement,20000,aide en numéraire,unique,2012-06-15,NA,non,1,2012,6,Arts du spectacle vivant
Toulouse Métropole,24310051800170,NA,NA,BOIS ET COMPAGNIE,48861282100022,Subvention de Fonctionnement,8000,aide en numéraire,unique,2012-10-10,NA,non,1,2012,10,Autres organisations fonctionnant par adhésion volontaire
Toulouse Métropole,24310051800170,NA,NA,DICVIE ASSOC,51488065700010,Subvention de Fonctionnement,5000,aide en numéraire,unique,2012-06-12,NA,non,1,2012,6,Autres organisations fonctionnant par adhésion volontaire
Toulouse Métropole,24310051800170,NA,NA,ADOMA SA,78805803001675,Subvention d'équipement,771043,aide en numéraire,échelonné,2012-12-06,NA,non,1,2012,12,Location de logements
Toulouse Métropole,24310051800170,NA,NA,API SARL,40144091200020,Subvention d'équipement,794.44,aide en numéraire,unique,2012-11-29,NA,non,1,2012,11,Fabrication de portes et fenêtres en métal
Toulouse Métropole,24310051800170,NA,NA,CCI TERRASSA,NA,Subvention de Fonctionnement,16322.44,aide en numéraire,échelonné,2012-10-10,NA,non,1,2012,10,NA
Toulouse Métropole,24310051800170,NA,NA,UNION REGIONALE CFTC MIDI PYRENEES,38359620200028,Subvention de Fonctionnement,381.4,aide en numéraire,unique,2012-09-06,NA,non,1,2012,9,Activités des syndicats de salariés
Toulouse Métropole,24310051800170,NA,NA,SYNDICAT FORCE OUVRIERE TM,NA,Subvention de Fonctionnement,2341,aide en numéraire,unique,2012-09-06,NA,non,1,2012,9,Activités des syndicats de salariés
Toulouse Métropole,24310051800170,NA,NA,ACADEMIE AIR ET ESPACE ASSOC,34828655000010,Subvention de Fonctionnement,10000,aide en numéraire,unique,2012-09-27,NA,non,1,2012,9,Autres organisations fonctionnant par adhésion volontaire
Toulouse Métropole,24310051800170,NA,NA,CENTRE INFORMATION SUR DROITS FEMMES ET FAMILLES HAUTE GARONNE,31349910500010,Subvention de Fonctionnement,3080,aide en numéraire,unique,2012-09-07,NA,non,1,2012,9,Autres organisations fonctionnant par adhésion volontaire
Toulouse Métropole,24310051800170,NA,NA,ADIE DROIT A L INITIATIVE ECONOMIQUE ASSOC,35221687301565,Subvention de Fonctionnement,30000,aide en numéraire,échelonné,2012-09-27,NA,non,1,2012,9,Action sociale sans hébergement n.c.a.
Toulouse Métropole,24310051800170,NA,NA,CCIT CHAMBRE COMMERCE INDUSTRIE DE TOULOUSE,18310002300013,Subvention de Fonctionnement,83100,aide en numéraire,échelonné,2012-12-26,NA,non,1,2012,12,Activités des organisations patronales et consulaires
Toulouse Métropole,24310051800170,NA,NA,CLASSISCO POUR LA MUSIQUE A L ECOLE ASSOC,44324608700029,Subvention de Fonctionnement,15000,aide en numéraire,unique,2012-06-26,NA,non,1,2012,6,Arts du spectacle vivant
Toulouse Métropole,24310051800170,NA,NA,CARREFOURS POUR L EMPLOI,43294548300035,Subvention de Fonctionnement,90000,aide en numéraire,échelonné,2012-09-21,NA,non,1,2012,9,Action sociale sans hébergement n.c.a.
Toulouse Métropole,24310051800170,NA,NA,CENTRE FORMATION DEPARTEMENTAL,13000835200747,Subvention d'équipement,63356,aide en numéraire,échelonné,2012-02-22,NA,non,1,2012,2,Administration publique générale
Toulouse Métropole,24310051800170,NA,NA,COMPAGNIE DES MOBILITES SARL,52156374200035,Subvention de Fonctionnement,20000,aide en numéraire,unique,2012-12-18,NA,non,1,2012,12,Programmation informatique
Toulouse Métropole,24310051800170,NA,NA,COMMUNE DE TOURNEFEUILLE,21310557000013,Subvention de Fonctionnement,18000,aide en numéraire,unique,2012-09-05,NA,non,1,2012,9,Administration publique générale
Toulouse Métropole,24310051800170,NA,NA,COMMUNE DE TOULOUSE,21310555400017,Subvention de Fonctionnement,105000,aide en numéraire,échelonné,2012-11-19,NA,non,1,2012,11,Administration publique générale
Toulouse Métropole,24310051800170,NA,NA,ANDORRA DESENVOLUPAMENT I INVERSIO,NA,Subvention de Fonctionnement,4000,aide en numéraire,unique,2012-12-19,NA,non,1,2012,12,NA
Toulouse Métropole,24310051800170,NA,NA,REGIONALE DES CHANTIERS IMPORTANTS DE MIDI PYRENEES ASSOC,38487386500016,Subvention de Fonctionnement,20000,aide en numéraire,échelonné,2012-04-25,NA,non,1,2012,4,Activités des organisations professionnelles
Toulouse Métropole,24310051800170,NA,NA,RFTM RECETTE DES FINANCES TOULOUSE MUNICIPALE,13000835201018,Subvention de Fonctionnement,-86750.17,aide en numéraire,échelonné,2012-12-31,NA,non,1,2012,12,Administration publique générale
Toulouse Métropole,24310051800170,NA,NA,SUAPS SERVICE UNIV ACTIVITES PHYSIQUES SPORTIVES,19311383400371,Subvention de Fonctionnement,5000,aide en numéraire,unique,2012-05-09,NA,non,1,2012,5,Enseignement de disciplines sportives et d'activités de loisirs
Toulouse Métropole,24310051800170,NA,NA,POINT RENCONTRE CHOMEURS ET PRECAIRE ASSOC,40299109500025,Subvention de Fonctionnement,8000,aide en numéraire,unique,2012-07-26,NA,non,1,2012,7,Autres organisations fonctionnant par adhésion volontaire
Toulouse Métropole,24310051800170,NA,NA,SEE ELECTRICIEN ELECTRONICIEN ASSOC,78539323200042,Subvention de Fonctionnement,11000,aide en numéraire,unique,2012-11-30,NA,non,1,2012,11,Activités des organisations professionnelles
Toulouse Métropole,24310051800170,NA,NA,OFFICE DU TOURISME DE TOULOUSE,45096085100019,Subvention de Fonctionnement,130000,aide en numéraire,unique,2012-12-17,NA,non,1,2012,12,Activités des agences de voyage
Toulouse Métropole,24310051800170,NA,NA,ONCOPOLE DE TOULOUSE ASSOC,48988377700042,Subvention de Fonctionnement,60000,aide en numéraire,échelonné,2012-10-10,NA,non,1,2012,10,Autres organisations fonctionnant par adhésion volontaire
Toulouse Métropole,24310051800170,NA,NA,SOLAGRO ASSOC,32451090800050,Subvention de Fonctionnement,97500,aide en numéraire,échelonné,2012-12-12,NA,non,1,2012,12,Activités de soutien aux cultures
Toulouse Métropole,24310051800170,NA,NA,SYNDICAT INTERCO CFDT MAIRIE TOULOUSE METROPOLE,NA,Subvention de Fonctionnement,653.2,aide en numéraire,unique,2012-10-02,NA,non,1,2012,10,Activités des syndicats de salariés
Toulouse Métropole,24310051800170,NA,NA,ORGANISATION BUS CYCLISTES,NA,Subvention de Fonctionnement,2000,aide en numéraire,unique,2012-07-12,NA,non,1,2012,7,Autres organisations fonctionnant par adhésion volontaire
Toulouse Métropole,24310051800170,NA,NA,GNSS USAGE INNOVATION AND DEVELOPPEMENTOF EXCELLENCE ASSOC,52435124400016,Subvention d'équipement,150000,aide en numéraire,unique,2012-06-27,NA,non,1,2012,6,"Analyses, essais et inspections techniques"
Toulouse Métropole,24310051800170,NA,NA,GRAPHITI CIRDD MIDI PYRENEES ASSOC,38918848300033,Subvention de Fonctionnement,13000,aide en numéraire,unique,2012-06-12,NA,non,1,2012,6,Action sociale sans hébergement n.c.a.
Toulouse Métropole,24310051800170,NA,NA,MIDI PYRENEES ACTIVE ASSOC,47960447200049,Subvention de Fonctionnement,75800,aide en numéraire,échelonné,2012-12-17,NA,non,1,2012,12,Conseil pour les affaires et autres conseils de gestion
Toulouse Métropole,24310051800170,NA,NA,LA MAISON DU VELO ASSOC,48742094500023,Subvention de Fonctionnement,270000,aide en numéraire,échelonné,2012-10-23,NA,non,1,2012,10,Autres organisations fonctionnant par adhésion volontaire
Toulouse Métropole,24310051800170,NA,NA,LIGUE DE L ENSEIGNEMENT 31,77695091700034,Subvention d'équipement,698000,aide en numéraire,unique,2012-06-11,NA,non,1,2012,6,Autres organisations fonctionnant par adhésion volontaire
Toulouse Métropole,24310051800170,NA,NA,MIDI PYRENEES EXPANSION,34172415100046,Subvention de Fonctionnement,30000,aide en numéraire,unique,2012-12-19,NA,non,1,2012,12,Administration publique (tutelle) des activités économiques
Toulouse Métropole,24310051800170,NA,NA,COOP ACTION SARL,44238180200028,Subvention de Fonctionnement,12000,aide en numéraire,unique,2012-09-27,NA,non,1,2012,9,Travaux de maçonnerie générale et gros oeuvre de bâtiment
Toulouse Métropole,24310051800170,NA,NA,LES VIDEOPHAGES,44912945100042,Subvention de Fonctionnement,6000,aide en numéraire,unique,2012-06-20,NA,non,1,2012,6,Projection de films cinématographiques
Toulouse Métropole,24310051800170,NA,NA,ISSAT ASSOC,40165509700012,Subvention de Fonctionnement,8000,aide en numéraire,unique,2012-09-20,NA,non,1,2012,9,NA
Toulouse Métropole,24310051800170,NA,NA,FACE,NA,Subvention de Fonctionnement,16000,aide en numéraire,unique,2012-12-12,NA,non,1,2012,12,Restauration de type rapide
Toulouse Métropole,24310051800170,NA,NA,TERRITOIRES LOGEMENT ET ANALYSES SOCIALES ASSOC,53192045200012,Subvention de Fonctionnement,23180,aide en numéraire,unique,2012-03-07,NA,non,1,2012,3,"Ingénierie, études techniques"
Toulouse Métropole,24310051800170,NA,NA,UNIVERSITE FEDERALE DE TOULOUSE MIDI-PYRENEES,13002132200016,Subvention d'équipement,3000000,aide en numéraire,unique,2012-07-19,NA,non,1,2012,7,Enseignement supérieur
