Section liquidation;Code tiers bénéficiaire;Nom bénéficiaire;Montant versé 2015
Investissement;2286;FONCIA ATLAS SAS;15412.0
Fonctionnement;4198;LOISIRS BONHOURE ASSOC;133219.5
Fonctionnement;24940;TBHC TOULOUSE BLAGNAC HOCKEY CLUB CTE BIS EN RJ ASSOC;35235.0
Fonctionnement;30152;FAIRE FACE ASSOC;4700.0
Fonctionnement;24364;CLUB TOULOUSAIN SPORT ADAPTE;1740.0
Fonctionnement;46115;CLUB DE L AMITIE DE TOULOUSE;630.0
Fonctionnement;25341;ACADEMIE CHRISTOPHE TIOZZO TOULOUSE ASSOC;21250.0
Fonctionnement;71511;PASSERELLES NORD SUD;1500.0
Investissement;5091;CABINET DE FRANCE SAS;22672.17
Fonctionnement;2384;AUDIO ET VISUEL ASSOC;10000.0
Fonctionnement;2795;BBB CENTRE D ART ASSOC;67400.0
Fonctionnement;62364;UNION SPORTIVE ENSEIGNEMENT PREMIER DEGRE TOULOUSE ASSOC;1750.0
Fonctionnement;24000;ACSTE CENTRES DE SOINS DE TOULOUSE ET ENVIRONS ASSOC;2700.0
Fonctionnement;25077;TENNIS CLUB BELLEFONTAINE ASSOC;7400.0
Fonctionnement;63972;CONFLUENCES;10000.0
Fonctionnement;19818;LA PART MANQUANTE ASSOC;2500.0
Fonctionnement;46928;LA BOITE A PANDORRE ASSOC;2000.0
Fonctionnement;52456;TOULOUSE BRONCOS XIII ASSOC;6800.0
Fonctionnement;2130;SPORTIVE DES IZARDS ASSOC;19550.0
Fonctionnement;2827;BALMA ST EXUPERY 31 ASSOC;13000.0
Fonctionnement;14470;JUMEAUX ET PLUS 31 ASSOC;500.0
Fonctionnement;46981;DEPARTEMENTALE DES INSUFFISANTS RESPIRATOIRES 31 ASSOC;500.0
Fonctionnement;17325;MAYGETSIN ASSOC;3975.0
Fonctionnement;75475;EL HEY ASSOC;1000.0
Fonctionnement;18618;MZ PRODUCTIONS ASSOC;3000.0
Fonctionnement;46761;TLSE PECHE PROTECTION AQUATIQUE ASSOC;4000.0
Fonctionnement;54798;COMPAGNIE ANNE MA SOEUR ANNE;2066.0
Fonctionnement;12637;GRANDS INTERPRETES ASSOC;83600.0
Fonctionnement;10065;L ENVOL ASSOC;228800.0
Fonctionnement;14447;LES AMIES DE LA MATERNELLE JULES JULIEN ASSOC;54112.5
Fonctionnement;43988;COMITE ORGANISATION CARNAVAL UNIVERSITAIRE;100000.0
Fonctionnement;1795;TOULOUSE  ST JO FOOTBALL S C ASSOC;60900.0
Fonctionnement;46987;CLUB 3IEME AGE DES SEPT DENIERS;510.0
Fonctionnement;13531;CLUB DE LOISIRS BONNE HUMEUR 3EME AGE;530.0
Fonctionnement;45789;CLUB DES CHEVEUX D ARGENT DE SAUZELONG RANGUEIL;925.0
Fonctionnement;43058;FRANCAISE D ANCIENS COMBATTANTS VOLONTAIRES GARIBALDIENS A;250.0
Fonctionnement;69397;REYNERIE MIROIR ASSOC;1500.0
Fonctionnement;6810;ECOLE CITOYENNE;14230.0
Fonctionnement;24119;LE CLAN DES SONGES ASSOC;4000.0
Fonctionnement;1144;AMBITION JEUNESSE ROYAL KI ASSOC;1740.0
Fonctionnement;70015;IVICARGO ASSOC;6000.0
Fonctionnement;6863;CLASSISCO POUR LA MUSIQUE A L ECOLE ASSOC;7590.0
Fonctionnement;12113;GENERATIONS SOLIDAIRES ASSOC;47000.0
Fonctionnement;2053;CENTRE DES ARTS URBAINS ASSOC;5100.0
Fonctionnement;46598;AMISPLEGIQUES ASSOC;500.0
Fonctionnement;25874;UFCV ASSOC;4000.0
Fonctionnement;9007;DIOCESAINE DE TOULOUSE ASSOC;549.91
Fonctionnement;56080;LA FABRIQUE A REVES ASSOC;2600.0
Fonctionnement;7086;COLLECTIF CULTURE BAR BARS;13500.0
Fonctionnement;2454;AUTEUIL FONDATION - ATELIER RELAIS OSEE;2000.0
Fonctionnement;81240;PALABRE ESPACE INTERCULTUREL ASSOC;11000.0
Fonctionnement;668;INSERTION FAMILLE ORIGI MONDE JEUNES ASSOC;166124.99
Fonctionnement;19972;CERCLE PECH DAVID ASSOC;31691.16
Fonctionnement;21049;COMITE DE COORDINATION POUR LA PROMOTION ET SOLIDARITE ASSOC;208701.54
Fonctionnement;25737;TOULOUSE TRIATHLON ASSOC;7650.0
Fonctionnement;19362;CLUB 3EME AGE ORMEAU MONTAUDRAN;1000.0
Fonctionnement;19093;CTRE FORMATION PROF OCCITANIE;8000.0
Fonctionnement;462;POUR LA FORMATION ET AIDE A LA COMMUNICATION AFAC ASSOC;2600.0
Fonctionnement;317;ADAPEI CLUB ALOUETTE ASSOC;1000.0
Fonctionnement;44762;LA TRAVERSEE ASSOC;2000.0
Fonctionnement;14268;JEUNESSE AU PLEIN AIR JPA COMITE DEPARTEMENTAL ASSOC;4000.0
Fonctionnement;2951;LA BARQUE ASSOC;1500.0
Fonctionnement;6895;LA CLEF ASSOC;4000.0
Fonctionnement;23520;SESAME AUTISME MIDI PYRENEES ASSOC;1350.0
Fonctionnement;40356;VOLONTARIAT ET SOUTIEN PAR L ART ASSOC;650.0
Fonctionnement;10404;EUROCHORUS ASSOC;2700.0
Fonctionnement;7155;COMBUSTIBLE ASSOC;28500.0
Fonctionnement;23427;PRINTEMPS DE SEPTEMBRE ASSOC;440300.0
Fonctionnement;25641;TRAJECTOIRE ASSOC;13000.0
Fonctionnement;11515;TOULOUSE SPORTS DE GLACE ASSOC;3000.0
Fonctionnement;4673;BOXING TOULOUSE BAGATELLE ASSOC;21250.0
Fonctionnement;73957;LES VOIX DE TRAVERSE ASSOC;2000.0
Fonctionnement;18563;MUSIC HALLE ASSOC;47500.0
Fonctionnement;75813;QUOZEURS BIEN VIVRE QUILMERY MOZART ASSOC;2500.0
Fonctionnement;19893;PATRIMOINE LANGUEDOCIENNE HLM SA;35834.0
Fonctionnement;20236;PTITS POTES CRECHE VITARELLES  ASSOC;381070.4
Fonctionnement;2042;LES ARTS RENAISSANTS ASSOC;55000.0
Fonctionnement;25945;UNIVERSCENES ASSOC;7200.0
Fonctionnement;10246;ESPOIR GITE ECLUSE;10000.0
Fonctionnement;18485;TOULOUSE MULTI BOXE ASSOC;8700.0
Fonctionnement;46146;CLUB SAN FRANCISCO;700.0
Fonctionnement;24793;TAGO GYM ASSOC;13000.0
Fonctionnement;1026;CLUB ALPIN FRANCAISE DE TOULOUSE;1870.0
Fonctionnement;28897;TOULOUSE ATHLETIC CLUB FOOTBALL ASSOC;22620.0
Fonctionnement;20441;PINKPONG ASSOC;9000.0
Fonctionnement;41648;CONFEDERATION SYNDICALE DES FAMILLES;51700.0
Fonctionnement;659;AIDES ASSOC;7200.0
Fonctionnement;34965;LE RELAIS ASSOC;4400.0
Fonctionnement;3233;BEBES DAUPHINS TOULOUSAINS ASSOC;1740.0
Fonctionnement;63668;A2P ASSOCIATION POUR L ACCOMPAGNEMENT DE PROJETS ASSOC;19000.0
Fonctionnement;14057;INSTITUT DE TECHNOLOGIE DES TRANSPORTS ET COMMUNICATIONS ASSOC;8200.0
Fonctionnement;5390;CANTO LAOUZETTO ASSOC;500.0
Fonctionnement;11;AACT SECTION MUSIQUE ASSOC;1000.0
Fonctionnement;23024;CLUB SAUVETAGE ET SECOURISME TOULOUSAIN;800.0
Fonctionnement;46504;SPORTS QUILLES DE HUIT DE L AMICALE AVEYRONNAISE DE TOULOUSE ASSOC;850.0
Fonctionnement;48355;APES ASS PARENTS D ENFANTS SOURDS MIDI-PYRENEES ASSOC;1000.0
Fonctionnement;16089;MONSIEUR LINEA ASSOC;3000.0
Fonctionnement;6753;CIPE CENTRE INFORMATION PETITE ENFANCE ASSOC;35000.0
