Section liquidation;Code tiers bénéficiaire;Nom bénéficiaire;N° SIRET;Type bénéficiaire;Montant versé en 2016
Fonctionnement;257;CITES DU SECOURS CATHOLIQUE EX ASSO CITE LA MADELAINE ASSOC;35330523800233;Personne morale de droit privé;345348.0
Fonctionnement;407;ADPAM AIDE A DOMICILE AUX PERSONNES AGEES ET MALADES ASSOC;77695144400020;Personne morale de droit privé;50000.0
Fonctionnement;533;AGART AMICALE GUYANAIS ANTILLAIS REGION TOULOUSAINE;50260143800034;Personne morale de droit privé;4800.0
Fonctionnement;725;LES AIRS SOLIDAIRES ASSOC;52969807800019;Personne morale de droit privé;750.0
Fonctionnement;857;ALEF PRODUCTIONS ASSOC;45382804800067;Personne morale de droit privé;2500.0
Fonctionnement;1221;LES AMIS DE MONSIEUR ASSOC;43351514500046;Personne morale de droit privé;6900.0
Fonctionnement;1226;GROUPE AMITIE FRATERNITE ASSOC;39269993000039;Personne morale de droit privé;48000.0
Fonctionnement;1314;FOYER ANCIENS CHATEAU DE L HERS;53270860900013;Personne morale de droit privé;800.0
Fonctionnement;1317;NEGRENEYS CURIE ASSOC;38434044400023;Personne morale de droit privé;19850.0
Fonctionnement;1505;ASS NAT DES VISITEURS DE PRISON;78431301700021;Personne morale de droit privé;450.0
Fonctionnement;1588;APSAR ANIMATION PREVENTION SOCIAL AMOUROUX ASSOC;33495753700023;Personne morale de droit privé;349145.0
Fonctionnement;1677;ASS REG CONSEILLER ENTREPRISES COLLECTIV ASSOC;43205953300021;Personne morale de droit privé;8000.0
Fonctionnement;1694;SOC ARCHEOLOGIQUE DU MIDI DE LA FRANCE ASSOC;77684062100028;Personne morale de droit privé;4000.0
Fonctionnement;2053;CENTRE DES ARTS URBAINS ASSOC;50125737200018;Personne morale de droit privé;11100.0
Fonctionnement;2130;AS SPORTIVE DES IZARDS ASSOC;38471087700034;Personne morale de droit privé;15600.0
Fonctionnement;2194;SPORTIVE TOULOUSE MIRAIL FOOTBALL ASSOC;43243554300017;Personne morale de droit privé;32500.0
Fonctionnement;2195;SPORTIVE TOULOUSE MIRAIL BADMINTON ASSOC;48126360600024;Personne morale de droit privé;1000.0
Fonctionnement;2209;ASTRO BASKET CLUB ASSOC;44145537500010;Personne morale de droit privé;8000.0
Fonctionnement;2384;AUDIO ET VISUEL ASSOC;43751359100028;Personne morale de droit privé;20000.0
Fonctionnement;2484;AUXILIA ASSOC;77568355000062;Personne morale de droit privé;720.0
Fonctionnement;2553;AVOCATS SANS FRONTIERES ASSOC;42027320300042;Personne morale de droit privé;8000.0
Fonctionnement;2725;COLLECTIF HABITANTS DE BAGATELLE STOP LA VIOLENCE;50365698500010;Personne morale de droit privé;6200.0
Fonctionnement;3226;DES ETUDIANTS DE L ISDAT ASSOC;44366669800016;Personne morale de droit privé;3500.0
Fonctionnement;3290;BEL AIR ASSOC;49157604700014;Personne morale de droit privé;1000.0
Fonctionnement;4145;BOIS ET COMPAGNIE;48861282100022;Personne morale de droit privé;34800.0
Fonctionnement;4482;CLUB BOULISTE TOULOUSAIN ASSOC;52037015600017;Personne morale de droit privé;14360.0
Fonctionnement;4609;LE BOUSTROPHEDON ASSOC;49156062900025;Personne morale de droit privé;2000.0
Fonctionnement;5105;LE CABRI SYNDIC FAMILLE AMOUROUX ROSERAIE ASSOC;44423497500019;Personne morale de droit privé;8500.0
Fonctionnement;5213;CALL FORTH ASSOC;51058805600018;Personne morale de droit privé;8500.0
Fonctionnement;5316;RADIO CAMPUS TOULOUSE MIDI PYRENEES ASSOC;34512066100011;Personne morale de droit privé;5001.0
Fonctionnement;5328;CONFRERIE DU CANARD SAUVAGE THEATRE L ACTE;38953056900034;Personne morale de droit privé;111405.0
Fonctionnement;5400;CAP CENTRE ASSOC;43250433000015;Personne morale de droit privé;5000.0
Fonctionnement;5593;CARREFOUR CULTUREL ARNAUD BERNARD ASSOC;38817019300014;Personne morale de droit privé;28510.0
Fonctionnement;5829;LILI CATHARSIS ASSOC;34282622900052;Personne morale de droit privé;6000.0
Fonctionnement;6206;COMITE  FETES  CROIX DAURADE;43812603900017;Personne morale de droit privé;1920.0
Fonctionnement;6246;SYNDICAT CGT FONCTION ACTIFS ET RETRAITES MAIRIE DE TOULOUSE;32914171700010;Personne morale de droit privé;2776.95
Fonctionnement;6706;CENTRE INFORMATION SUR DROITS FEMMES ET FAMILLES HAUTE GARONNE ASSOC;31349910500010;Personne morale de droit privé;30060.0
Fonctionnement;6759;CIRASTI MIDI PYRENEES ASSOC;51485526100012;Personne morale de droit privé;9000.0
Fonctionnement;6835;CRECHE CLAIR DE LUNE ASSOC;38342283900035;Personne morale de droit privé;246116.28
Fonctionnement;7138;CEC HTE GAR  CONFLITS VICTIMES GUERRE ET ANCIENS COMBATTANTS ASSOC;52209098400017;Personne morale de droit privé;494.0
Fonctionnement;7205;LA PETITE;45394206200036;Personne morale de droit privé;27850.0
Fonctionnement;7487;COSAT COMITE OEUVRE SOCIALE AGENTS DE LA VILLE DE TOULOUSE;31819975900016;Personne morale de droit privé;3024460.74
Fonctionnement;7565;MILLE ET UNE COULEURS ASSOC;40526584400044;Personne morale de droit privé;3800.0
Fonctionnement;7739;CREMATISTE DE HTE GARONNE ASSOC;32667689700027;Personne morale de droit privé;288.0
Fonctionnement;7772;CRIDACOMPANY;49354001700032;Personne morale de droit privé;3000.0
Fonctionnement;7804;CRF CROIX ROUGE FRANCAISE DELEGATION LOCALE TOULOUSE;77567227226590;Personne morale de droit privé;126598.8
Fonctionnement;7904;LA CUISINE ASSOC;51280797500028;Personne morale de droit privé;8200.0
Fonctionnement;8422;POUR LA DEFENSE DES FAMILLES ET DE L INDIVIDU ADFI ASSOC;45024144300016;Personne morale de droit privé;1440.0
Fonctionnement;8449;LES PETITS DEGOURDIS ASSOC;49152549900027;Personne morale de droit privé;229394.48
Fonctionnement;8921;DIAPASON;39317864500023;Personne morale de droit privé;28000.0
Fonctionnement;9609;LA COURTE ECHELLE ASSOC;52361560700026;Personne morale de droit privé;77922.42
Fonctionnement;9789;ODRADEK ASSOC;35196044800022;Personne morale de droit privé;2390.0
Fonctionnement;9997;LES ENFANTS TERRIBLES ASSOC;35236953200036;Personne morale de droit privé;153652.76
Fonctionnement;10001;ENFANT BLEU ENFANCE MALTRAITEE ASSOC;44150672200020;Personne morale de droit privé;3000.0
Fonctionnement;10170;ESCAMBIAR;42243928100029;Personne morale de droit privé;26400.0
Fonctionnement;10171;ESCAPADE;48056496200011;Personne morale de droit privé;2400.0
Fonctionnement;10235;CENTRE CULTUREL ESPERANTO ASSOC;44163267600025;Personne morale de droit privé;550.0
Fonctionnement;10246;ESPOIR GITE ECLUSE;31486972800027;Personne morale de droit privé;21750.0
Fonctionnement;10389;ETYMON ASSOC;43259327500030;Personne morale de droit privé;20000.0
Fonctionnement;10520;LES EXPLORATEURS ASSOC;43360122600015;Personne morale de droit privé;125510.0
Fonctionnement;10580;FACE GRAND TOULOUSE  ASSOC;43482616000062;Personne morale de droit privé;51520.0
Fonctionnement;10584;LA FACON ASSOC;39536378100034;Personne morale de droit privé;1000.0
Fonctionnement;10747;FAUTE O GRAFF;52065494800014;Personne morale de droit privé;11500.0
Fonctionnement;10841;LES AMIS DU PETIT FERDINAND ASSOC;34374323300011;Personne morale de droit privé;158038.56
Fonctionnement;10966;FFPE FEDERATION DES FEMMES POUR L EUROPE;39142818200029;Personne morale de droit privé;23100.0
Fonctionnement;11515;TOULOUSE SPORTS DE GLACE ASSOC;41367172800025;Personne morale de droit privé;3000.0
Fonctionnement;11598;FRMJC FEDERATION REGIONALE MJC;77695196400035;Personne morale de droit privé;114307.32
Fonctionnement;11649;FUTSAL BELLEFONTAINE ASSOC;50864694000017;Personne morale de droit privé;3000.0
Fonctionnement;11869;GARE AUX ARTISTES ASSOC;50342887200017;Personne morale de droit privé;12950.0
