nomAttribuant;idAttribuant;dateConvention;referenceDecision;nomBeneficiaire;idBeneficiaire;objet;montant;nature;conditionsVersement;datesPeriodeVersement;idRAE;notificationUE;pourcentageSubvention
Ville de Toulouse;21310555400017;;;FRANCAISE CONTRE LES MYOPATHIES;77560957100309;Subvention de Fonctionnement;600.0;aide en numéraire;unique;2017-10-27;;non;1
Ville de Toulouse;21310555400017;;;FRANCAISE D ANCIENS COMBATTANTS VOLONTAIRES GARIBALDIENS A;50489525100024;Subvention de Fonctionnement;290.0;aide en numéraire;unique;2017-11-10;;non;1
Ville de Toulouse;21310555400017;;;FRANCO IMAZIGHEN KABYLIE AFRIKA 31;49313896000031;Subvention de Fonctionnement;3000.0;aide en numéraire;unique;2017-07-24;;non;1
Ville de Toulouse;21310555400017;;;FRMJC FEDERATION REGIONALE MJC;77695196400035;Subvention de Fonctionnement;115451.0;aide en numéraire;unique;2017-07-13;;non;1
Ville de Toulouse;21310555400017;;;GLET ECOLE LA TERRASSE MIXTE ASSOC;34508836300014;Subvention de Fonctionnement;189614.0;aide en numéraire;échelonné;2017-11-13;;non;1
Ville de Toulouse;21310555400017;;;GROTTES ARCHEOLOGIES ARIEGE MAS D AZIL;80849348000020;Subvention de Fonctionnement;1500.0;aide en numéraire;unique;2017-10-02;;non;1
Ville de Toulouse;21310555400017;;;GROUPEMENT DES EDUCATEURS SANS FRONTIERES;39894863800034;Subvention de Fonctionnement;5000.0;aide en numéraire;unique;2017-07-06;;non;1
Ville de Toulouse;21310555400017;;;INDELEBILE ASSOC;51783612800010;Subvention de Fonctionnement;2100.0;aide en numéraire;unique;2017-10-02;;non;1
Ville de Toulouse;21310555400017;;;INSTITUT MEDICO EDUCATIF LES TROENES;77689854600044;Subvention de Fonctionnement;1500.0;aide en numéraire;unique;2017-12-21;;non;1
Ville de Toulouse;21310555400017;;;JERKOV;45330340600038;Subvention de Fonctionnement;12500.0;aide en numéraire;unique;2017-11-09;;non;1
Ville de Toulouse;21310555400017;;;LA BOITE A LUTINS ASSOC;52949750500014;Subvention de Fonctionnement;1700.0;aide en numéraire;unique;2017-07-12;;non;1
Ville de Toulouse;21310555400017;;;LA COMPAGNIE;40807231200056;Subvention de Fonctionnement;21900.0;aide en numéraire;échelonné;2017-11-23;;non;1
Ville de Toulouse;21310555400017;;;LA COURTE ECHELLE ASSOC;52361560700026;Subvention de Fonctionnement;89462.55;aide en numéraire;échelonné;2017-09-28;;non;1
Ville de Toulouse;21310555400017;;;LA COURTE ECHELLE DE BORDEROUGE;81929217800020;Subvention de Fonctionnement;5000.0;aide en numéraire;unique;2017-10-30;;non;1
Ville de Toulouse;21310555400017;;;LA DAME D ARAGON;82832453300011;Subvention de Fonctionnement;16000.0;aide en numéraire;échelonné;2017-11-15;;non;1
Ville de Toulouse;21310555400017;;;LA FABRIQUE A REVES ASSOC;50830198300013;Subvention de Fonctionnement;4500.0;aide en numéraire;échelonné;2017-10-04;;non;1
Ville de Toulouse;21310555400017;;;LA PORTE OUVERTE DE TOULOUSE ASSOC;40468707100013;Subvention de Fonctionnement;2880.0;aide en numéraire;unique;2017-07-06;;non;1
Ville de Toulouse;21310555400017;;;L ECLUSE;52981352900029;Subvention de Fonctionnement;2500.0;aide en numéraire;unique;2017-10-31;;non;1
Ville de Toulouse;21310555400017;;;LE DAMIER DES TROIS COUCOUS;81950200600011;Subvention de Fonctionnement;1500.0;aide en numéraire;unique;2017-12-20;;non;1
Ville de Toulouse;21310555400017;;;LE GRAND RAYMOND;83130815000018;Subvention de Fonctionnement;8000.0;aide en numéraire;unique;2017-12-12;;non;1
Ville de Toulouse;21310555400017;;;LE GREVELLEC IMMOBILIER SARL;50082176400023;Subvention d'équipement;12234.29;aide en numéraire;unique;2017-12-11;;non;1
Ville de Toulouse;21310555400017;;;LE PRINTEMPS DE SEPTEMBRE;38954784500047;Subvention de Fonctionnement;385476.0;aide en numéraire;échelonné;2017-06-06;;non;1
Ville de Toulouse;21310555400017;;;LES AMIS DE LA HALTE SANTE ASSOC;75337194700015;Subvention de Fonctionnement;950.0;aide en numéraire;unique;2017-10-30;;non;1
Ville de Toulouse;21310555400017;;;LES AMIS DE L ORGUE DU TEMPLE DU SALIN ASSOC;77694319300016;Subvention de Fonctionnement;966.27;aide en numéraire;unique;2017-08-04;;non;1
Ville de Toulouse;21310555400017;;;LES AMIS E S D AVERROES;50373342000023;Subvention de Fonctionnement;3880.0;aide en numéraire;unique;2017-11-07;;non;1
Ville de Toulouse;21310555400017;;;LES ARTS RENAISSANTS;33141787300048;Subvention de Fonctionnement;50688.0;aide en numéraire;échelonné;2017-07-24;;non;1
Ville de Toulouse;21310555400017;;;LES MAMANS DES VERGERS ASSOC;79240068100013;Subvention de Fonctionnement;3500.0;aide en numéraire;unique;2017-07-24;;non;1
Ville de Toulouse;21310555400017;;;LES NOUVEAUTES LYRIQUES ASSOC;44179478100043;Subvention de Fonctionnement;39756.0;aide en numéraire;échelonné;2017-05-04;;non;1
Ville de Toulouse;21310555400017;;;LES PASSEURS D IMAGES ASSOC;79002036600015;Subvention de Fonctionnement;18662.0;aide en numéraire;échelonné;2017-04-13;;non;1
Ville de Toulouse;21310555400017;;;LES PETITS CHANTEURS A LA CROIX POTENCEE DE TOULOUSE ASSOC;30281475100038;Subvention de Fonctionnement;750.0;aide en numéraire;unique;2017-08-02;;non;1
Ville de Toulouse;21310555400017;;;LES PETITS DEGOURDIS ASSOC;49152549900027;Subvention de Fonctionnement;230611.77;aide en numéraire;échelonné;2017-09-28;;non;1
