Code tiers bénéficiaire;Nom bénéficiaire;Montant versé;Type subvention
22998;SIVOM DE LA SAUDRUNE;4855.95;Investissement
6835;CRECHE CLAIR DE LUNE ASSOC;251020.0;Fonctionnement
19865;PLANETE SCIENCES MIDI PYRENEES ASSOC;43500.0;Fonctionnement
20836;UNION SPORTIVE POUVOURVILLE ASSOC;15000.0;Fonctionnement
44351;RECREACTIF EVENT ASSOC;6000.0;Fonctionnement
28154;VICTORIA REGIA ASSOC;34500.0;Fonctionnement
7016;COCKTAIL;1500.0;Fonctionnement
13946;INTERNOTES ASSOC;5500.0;Fonctionnement
45789;CLUB DES CHEVEUX D ARGENT DE SAUZELONG RANGUEIL;925.0;Fonctionnement
46987;CLUB 3IEME AGE DES SEPT DENIERS;510.0;Fonctionnement
16159;LE LOCAL ASSOC;4000.0;Fonctionnement
155;UNION ACADEMIES   STES SAVANTES ASSOC;7200.0;Fonctionnement
20226;PETIT BOIS COMPAGNIE ASSOC;14856.0;Fonctionnement
14436;TOULOUSE JUDO ASSOC;45000.0;Fonctionnement
10363;ETOILE SPORTIVE DE CASSELARDIT;5000.0;Fonctionnement
17250;LA COMPAGNIE DU PETIT MATIN ASSOC;7000.0;Fonctionnement
36948;ADEPAPE ENTRAIDE PUPILLES DE L ETAT ASSOC;3000.0;Fonctionnement
2053;CENTRE DES ARTS URBAINS ASSOC;6000.0;Fonctionnement
24477;COLLEGE STENDHAL;11502.0;Fonctionnement
48355;APES ASS PARENTS D ENFANTS SOURDS MIDI-PYRENEES ASSOC;1000.0;Fonctionnement
25190;THEATRE NATIONAL TOULOUSE MIDI-PYRENEES SAS;191249.0;Investissement
18959;NORD LOISIRS ASSOC;165162.2;Fonctionnement
570;AGIT GROUPE INTERVENTIONS THEATRALES ASSOC;46600.0;Fonctionnement
13672;INSTITUT D ETUDES OCCITANES SD 31 ASSOC;85000.0;Fonctionnement
6570;CONVIVENCIA ASSOC;25000.0;Fonctionnement
46370;UNIVERSITE TOULOUSE 2 TOULOUSE LE MIRAIL;37500.0;Fonctionnement
10834;FEPEB FOYER EDUC POPULAIRE ETIENNE BILLIERES;32000.0;Fonctionnement
15882;LES CURIOSITES ASSOC;15000.0;Fonctionnement
13889;ITINERAIRE INTERNATIONAL ASSOC;15000.0;Fonctionnement
3032;TOULOUSE BASKET CLUB ASSOC;150000.0;Fonctionnement
26564;VIVRE MIEUX ASSOC;3500.0;Fonctionnement
5323;CANALART ASSOC;5800.0;Fonctionnement
31838;LA MAISON DE L INITIATIVE SCOP;31800.0;Fonctionnement
46540;A TOUT PETIT PAS ASSOC;250407.0;Fonctionnement
23917;SOCRATE ASSOC;10000.0;Fonctionnement
44380;LA PETANQUE HERACLES ASSOC;700.0;Fonctionnement
23369;SEMECCEL CITE DE L ESPACE;4903574.64;Fonctionnement
3198;BEACH VOLLEY TOULOUSAIN ASSOC;800.0;Fonctionnement
43058;FRANCAISE D ANCIENS COMBATTANTS VOLONTAIRES GARIBALDIENS A;250.0;Fonctionnement
20072;LIBRE PENSEE DE TOULOUSE ASSOC;1500.0;Fonctionnement
17529;CHORALE MELODY;320.0;Fonctionnement
19362;CLUB 3EME AGE ORMEAU MONTAUDRAN;1000.0;Fonctionnement
46992;CLUB 3IEME AGE COLOMBETTE SAINT AUBIN;400.0;Fonctionnement
73172;VNF VOIES NAVIGABLES DE FRANCE;14457.41;Fonctionnement
52359;INCITU ASSOC;3000.0;Fonctionnement
21938;COLLEGE RAYMOND BADIOU;14586.0;Fonctionnement
11869;GARE AUX ARTISTES ASSOC;15000.0;Fonctionnement
22684;LES ARTS ST CYPRIEN ASSOC;1500.0;Fonctionnement
5213;CALL FORTH ASSOC;7500.0;Fonctionnement
20067;SKI CLUB DE LA PENICHE ASSOC;850.0;Fonctionnement
14470;JUMEAUX ET PLUS 31 ASSOC;500.0;Fonctionnement
12733;LYCEE DEODAT DE SEVERAC GRETA TOULOUSE;5000.0;Fonctionnement
68566;LES AMIS DE NOTRE DAME DES ANGES ASSOC;14569.33;Fonctionnement
25874;UFCV ASSOC;4000.0;Fonctionnement
